Test Case ID,Cloud,Module,Domain,E2E Flow,Test Type,Test Scenario,Preconditions,Steps,Expected Result,Priority,Type
SF-SA-00001,Sales,Lead,Retail Banking,Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast,Security,Create Retail Banking Sales Lead,User has Sales access and Retail Banking data is configured,"1. Navigate to Lead.
2. Execute: Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast.
3. Perform Create and verify results.",Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast completes successfully with audit trail and validation,High,Accessibility
SF-SA-00002,Sales,Lead,Retail Banking,Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast,Performance,Edit Retail Banking Sales Lead,User has Sales access and Retail Banking data is configured,"1. Navigate to Lead.
2. Execute: Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast.
3. Perform Edit and verify results.",Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast completes successfully with audit trail and validation,Low,Functional
SF-SA-00003,Sales,Lead,Retail Banking,Campaign -> Lead -> Conversion -> Opp -> Revenue,Integration,Archive Retail Banking Sales Lead,User has Sales access and Retail Banking data is configured,"1. Navigate to Lead.
2. Execute: Campaign -> Lead -> Conversion -> Opp -> Revenue.
3. Perform Archive and verify results.",Campaign -> Lead -> Conversion -> Opp -> Revenue completes successfully with audit trail and validation,Medium,Regression
SF-SA-00004,Sales,Lead,Retail Banking,Campaign -> Lead -> Conversion -> Opp -> Revenue,Security,View Retail Banking Sales Lead,User has Sales access and Retail Banking data is configured,"1. Navigate to Lead.
2. Execute: Campaign -> Lead -> Conversion -> Opp -> Revenue.
3. Perform View and verify results.",Campaign -> Lead -> Conversion -> Opp -> Revenue completes successfully with audit trail and validation,High,Functional
SF-SA-00005,Sales,Lead,Retail Banking,Account -> Contact -> Opp -> Close Won,Security,Update Retail Banking Sales Lead,User has Sales access and Retail Banking data is configured,"1. Navigate to Lead.
2. Execute: Account -> Contact -> Opp -> Close Won.
3. Perform Update and verify results.",Account -> Contact -> Opp -> Close Won completes successfully with audit trail and validation,High,Integration
SF-SA-00006,Sales,Lead,Retail Banking,Account -> Contact -> Opp -> Close Won,Functional,Clone Retail Banking Sales Lead,User has Sales access and Retail Banking data is configured,"1. Navigate to Lead.
2. Execute: Account -> Contact -> Opp -> Close Won.
3. Perform Clone and verify results.",Account -> Contact -> Opp -> Close Won completes successfully with audit trail and validation,Low,Performance
SF-SA-00007,Sales,Lead,Manufacturing,Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast,Accessibility,Reassign Manufacturing Sales Lead,User has Sales access and Manufacturing data is configured,"1. Navigate to Lead.
2. Execute: Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast.
3. Perform Reassign and verify results.",Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast completes successfully with audit trail and validation,High,Regression
SF-SA-00008,Sales,Lead,Manufacturing,Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast,Functional,Update Manufacturing Sales Lead,User has Sales access and Manufacturing data is configured,"1. Navigate to Lead.
2. Execute: Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast.
3. Perform Update and verify results.",Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast completes successfully with audit trail and validation,High,Regression
SF-SA-00009,Sales,Lead,Manufacturing,Campaign -> Lead -> Conversion -> Opp -> Revenue,UI,Create Manufacturing Sales Lead,User has Sales access and Manufacturing data is configured,"1. Navigate to Lead.
2. Execute: Campaign -> Lead -> Conversion -> Opp -> Revenue.
3. Perform Create and verify results.",Campaign -> Lead -> Conversion -> Opp -> Revenue completes successfully with audit trail and validation,Medium,Regression
SF-SA-00010,Sales,Lead,Manufacturing,Campaign -> Lead -> Conversion -> Opp -> Revenue,Functional,Edit Manufacturing Sales Lead,User has Sales access and Manufacturing data is configured,"1. Navigate to Lead.
2. Execute: Campaign -> Lead -> Conversion -> Opp -> Revenue.
3. Perform Edit and verify results.",Campaign -> Lead -> Conversion -> Opp -> Revenue completes successfully with audit trail and validation,Low,Performance
