Test Case ID,Platform,Suite,Module,Domain,E2E Flow,Test Type,Test Scenario,Preconditions,Steps,Expected Result,Priority,Type,Sample Data
VV-REG-00001,Veeva,Regulatory,RIM,Pharma,Setup -> Review -> Approve -> Publish -> Archive,UI,Approve Pharma Veeva RIM,User has Veeva access and Pharma data is available,"1. Open RIM.
2. Execute: Setup -> Review -> Approve -> Publish -> Archive.
3. Verify compliance, audit trail, and downstream status.",Setup -> Review -> Approve -> Publish -> Archive completes successfully with compliance and audit evidence,Low,Performance,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00002,Veeva,Regulatory,RIM,Pharma,Create -> Submit -> Approve -> Release -> Monitor,UI,Edit Pharma Veeva RIM,User has Veeva access and Pharma data is available,"1. Open RIM.
2. Execute: Create -> Submit -> Approve -> Release -> Monitor.
3. Verify compliance, audit trail, and downstream status.",Create -> Submit -> Approve -> Release -> Monitor completes successfully with compliance and audit evidence,Medium,Accessibility,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00003,Veeva,Regulatory,RIM,Pharma,Author -> Review -> Sign -> Distribute -> Track,Accessibility,Approve Pharma Veeva RIM,User has Veeva access and Pharma data is available,"1. Open RIM.
2. Execute: Author -> Review -> Sign -> Distribute -> Track.
3. Verify compliance, audit trail, and downstream status.",Author -> Review -> Sign -> Distribute -> Track completes successfully with compliance and audit evidence,Low,Data Migration,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00004,Veeva,Regulatory,RIM,Pharma,Plan -> Execute -> Verify -> Close -> Audit,Regression,Create Pharma Veeva RIM,User has Veeva access and Pharma data is available,"1. Open RIM.
2. Execute: Plan -> Execute -> Verify -> Close -> Audit.
3. Verify compliance, audit trail, and downstream status.",Plan -> Execute -> Verify -> Close -> Audit completes successfully with compliance and audit evidence,High,Security,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00005,Veeva,Regulatory,RIM,Pharma,Content -> Approval -> HCP Delivery -> Analytics,Integration,Restore Pharma Veeva RIM,User has Veeva access and Pharma data is available,"1. Open RIM.
2. Execute: Content -> Approval -> HCP Delivery -> Analytics.
3. Verify compliance, audit trail, and downstream status.",Content -> Approval -> HCP Delivery -> Analytics completes successfully with compliance and audit evidence,Low,UI,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00006,Veeva,Regulatory,RIM,Biotech,Setup -> Review -> Approve -> Publish -> Archive,Regression,Reject Biotech Veeva RIM,User has Veeva access and Biotech data is available,"1. Open RIM.
2. Execute: Setup -> Review -> Approve -> Publish -> Archive.
3. Verify compliance, audit trail, and downstream status.",Setup -> Review -> Approve -> Publish -> Archive completes successfully with compliance and audit evidence,Medium,Integration,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00007,Veeva,Regulatory,RIM,Biotech,Create -> Submit -> Approve -> Release -> Monitor,Accessibility,Restore Biotech Veeva RIM,User has Veeva access and Biotech data is available,"1. Open RIM.
2. Execute: Create -> Submit -> Approve -> Release -> Monitor.
3. Verify compliance, audit trail, and downstream status.",Create -> Submit -> Approve -> Release -> Monitor completes successfully with compliance and audit evidence,Medium,Accessibility,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00008,Veeva,Regulatory,RIM,Biotech,Author -> Review -> Sign -> Distribute -> Track,Data Migration,Restore Biotech Veeva RIM,User has Veeva access and Biotech data is available,"1. Open RIM.
2. Execute: Author -> Review -> Sign -> Distribute -> Track.
3. Verify compliance, audit trail, and downstream status.",Author -> Review -> Sign -> Distribute -> Track completes successfully with compliance and audit evidence,Low,Integration,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00009,Veeva,Regulatory,RIM,Biotech,Plan -> Execute -> Verify -> Close -> Audit,Data Migration,Validate Biotech Veeva RIM,User has Veeva access and Biotech data is available,"1. Open RIM.
2. Execute: Plan -> Execute -> Verify -> Close -> Audit.
3. Verify compliance, audit trail, and downstream status.",Plan -> Execute -> Verify -> Close -> Audit completes successfully with compliance and audit evidence,Low,Integration,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00010,Veeva,Regulatory,RIM,Biotech,Content -> Approval -> HCP Delivery -> Analytics,Data Migration,Route Biotech Veeva RIM,User has Veeva access and Biotech data is available,"1. Open RIM.
2. Execute: Content -> Approval -> HCP Delivery -> Analytics.
3. Verify compliance, audit trail, and downstream status.",Content -> Approval -> HCP Delivery -> Analytics completes successfully with compliance and audit evidence,High,Workflow,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
