Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
ZSC-DLP-00001,Zscaler,dlp,Restore Zscaler dlp,Zscaler test data ready,Submit transaction > sync system > reconcile report,Success,Low
ZSC-DLP-00002,Zscaler,dlp,Clone Zscaler dlp,Zscaler test data ready,Open module > perform action > validate result,Success,Medium
ZSC-DLP-00003,Zscaler,dlp,Reject Zscaler dlp,Zscaler test data ready,Initiate integration > check queue > confirm completion,Success,High
ZSC-DLP-00004,Zscaler,dlp,Reject Zscaler dlp,Zscaler test data ready,Initiate integration > check queue > confirm completion,Success,Low
ZSC-DLP-00005,Zscaler,dlp,Escalate Zscaler dlp,Zscaler test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ZSC-DLP-00006,Zscaler,dlp,Submit Zscaler dlp,Zscaler test data ready,Open module > perform action > validate result,Success,Low
ZSC-DLP-00007,Zscaler,dlp,Archive Zscaler dlp,Zscaler test data ready,Initiate integration > check queue > confirm completion,Success,High
ZSC-DLP-00008,Zscaler,dlp,Reject Zscaler dlp,Zscaler test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ZSC-DLP-00009,Zscaler,dlp,Edit Zscaler dlp,Zscaler test data ready,Create record > route approval > verify status,Success,High
ZSC-DLP-00010,Zscaler,dlp,Reject Zscaler dlp,Zscaler test data ready,Create record > route approval > verify status,Success,Medium
ZSC-DLP-00011,Zscaler,dlp,Route Zscaler dlp,Zscaler test data ready,Submit transaction > sync system > reconcile report,Success,Low
ZSC-DLP-00012,Zscaler,dlp,Clone Zscaler dlp,Zscaler test data ready,Create record > route approval > verify status,Success,Low
ZSC-DLP-00013,Zscaler,dlp,Delete Zscaler dlp,Zscaler test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ZSC-DLP-00014,Zscaler,dlp,Create Zscaler dlp,Zscaler test data ready,Initiate integration > check queue > confirm completion,Success,High
ZSC-DLP-00015,Zscaler,dlp,Restore Zscaler dlp,Zscaler test data ready,Submit transaction > sync system > reconcile report,Success,Low
ZSC-DLP-00016,Zscaler,dlp,Submit Zscaler dlp,Zscaler test data ready,Open module > perform action > validate result,Success,High
ZSC-DLP-00017,Zscaler,dlp,Update Zscaler dlp,Zscaler test data ready,Initiate integration > check queue > confirm completion,Success,High
ZSC-DLP-00018,Zscaler,dlp,Submit Zscaler dlp,Zscaler test data ready,Create record > route approval > verify status,Success,High
ZSC-DLP-00019,Zscaler,dlp,Reject Zscaler dlp,Zscaler test data ready,Open module > perform action > validate result,Success,High
ZSC-DLP-00020,Zscaler,dlp,Clone Zscaler dlp,Zscaler test data ready,Create record > route approval > verify status,Success,Medium
ZSC-DLP-00021,Zscaler,dlp,Archive Zscaler dlp,Zscaler test data ready,Submit transaction > sync system > reconcile report,Success,High
ZSC-DLP-00022,Zscaler,dlp,Clone Zscaler dlp,Zscaler test data ready,Open module > perform action > validate result,Success,Medium
ZSC-DLP-00023,Zscaler,dlp,Submit Zscaler dlp,Zscaler test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ZSC-DLP-00024,Zscaler,dlp,Delete Zscaler dlp,Zscaler test data ready,Initiate integration > check queue > confirm completion,Success,Low
ZSC-DLP-00025,Zscaler,dlp,Edit Zscaler dlp,Zscaler test data ready,Initiate integration > check queue > confirm completion,Success,High
ZSC-DLP-00026,Zscaler,dlp,Delete Zscaler dlp,Zscaler test data ready,Submit transaction > sync system > reconcile report,Success,High
ZSC-DLP-00027,Zscaler,dlp,Archive Zscaler dlp,Zscaler test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ZSC-DLP-00028,Zscaler,dlp,Clone Zscaler dlp,Zscaler test data ready,Open module > perform action > validate result,Success,High
ZSC-DLP-00029,Zscaler,dlp,Submit Zscaler dlp,Zscaler test data ready,Open module > perform action > validate result,Success,High
ZSC-DLP-00030,Zscaler,dlp,Create Zscaler dlp,Zscaler test data ready,Initiate integration > check queue > confirm completion,Success,High
ZSC-DLP-00031,Zscaler,dlp,Search Zscaler dlp,Zscaler test data ready,Submit transaction > sync system > reconcile report,Success,Low
ZSC-DLP-00032,Zscaler,dlp,Submit Zscaler dlp,Zscaler test data ready,Open module > perform action > validate result,Success,Low
ZSC-DLP-00033,Zscaler,dlp,Clone Zscaler dlp,Zscaler test data ready,Create record > route approval > verify status,Success,Low
ZSC-DLP-00034,Zscaler,dlp,Create Zscaler dlp,Zscaler test data ready,Open module > perform action > validate result,Success,Low
ZSC-DLP-00035,Zscaler,dlp,Delete Zscaler dlp,Zscaler test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ZSC-DLP-00036,Zscaler,dlp,Approve Zscaler dlp,Zscaler test data ready,Initiate integration > check queue > confirm completion,Success,Low
ZSC-DLP-00037,Zscaler,dlp,Clone Zscaler dlp,Zscaler test data ready,Initiate integration > check queue > confirm completion,Success,High
ZSC-DLP-00038,Zscaler,dlp,Delete Zscaler dlp,Zscaler test data ready,Open module > perform action > validate result,Success,High
ZSC-DLP-00039,Zscaler,dlp,Update Zscaler dlp,Zscaler test data ready,Submit transaction > sync system > reconcile report,Success,Low
ZSC-DLP-00040,Zscaler,dlp,Reject Zscaler dlp,Zscaler test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ZSC-DLP-00041,Zscaler,dlp,Edit Zscaler dlp,Zscaler test data ready,Initiate integration > check queue > confirm completion,Success,High
ZSC-DLP-00042,Zscaler,dlp,Reject Zscaler dlp,Zscaler test data ready,Open module > perform action > validate result,Success,Medium
ZSC-DLP-00043,Zscaler,dlp,Create Zscaler dlp,Zscaler test data ready,Submit transaction > sync system > reconcile report,Success,High
ZSC-DLP-00044,Zscaler,dlp,Search Zscaler dlp,Zscaler test data ready,Create record > route approval > verify status,Success,High
ZSC-DLP-00045,Zscaler,dlp,Create Zscaler dlp,Zscaler test data ready,Open module > perform action > validate result,Success,Medium
ZSC-DLP-00046,Zscaler,dlp,Route Zscaler dlp,Zscaler test data ready,Submit transaction > sync system > reconcile report,Success,Low
ZSC-DLP-00047,Zscaler,dlp,Restore Zscaler dlp,Zscaler test data ready,Create record > route approval > verify status,Success,High
ZSC-DLP-00048,Zscaler,dlp,Search Zscaler dlp,Zscaler test data ready,Create record > route approval > verify status,Success,Low
ZSC-DLP-00049,Zscaler,dlp,Route Zscaler dlp,Zscaler test data ready,Submit transaction > sync system > reconcile report,Success,High
ZSC-DLP-00050,Zscaler,dlp,Search Zscaler dlp,Zscaler test data ready,Open module > perform action > validate result,Success,High
ZSC-DLP-00051,Zscaler,dlp,Approve Zscaler dlp,Zscaler test data ready,Initiate integration > check queue > confirm completion,Success,High
ZSC-DLP-00052,Zscaler,dlp,Search Zscaler dlp,Zscaler test data ready,Create record > route approval > verify status,Success,Low
