Test Case ID,Product,Folder,Capability,Domain,Flow,Test Type,Scenario,Preconditions,Steps,Expected Result,Priority,Sample Data
AWS-LAM-00001,AWS,lambda,lambda,Platform,Create -> Protect -> Audit -> Report,Regression,Escalate AWS lambda,AWS access and test data available,"1. Open lambda.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-LAM-00002,AWS,lambda,lambda,DevOps,Deploy -> Scale -> Observe -> Rollback,Regression,Route AWS lambda,AWS access and test data available,"1. Open lambda.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-LAM-00003,AWS,lambda,lambda,DevOps,Deploy -> Scale -> Observe -> Rollback,Accessibility,Escalate AWS lambda,AWS access and test data available,"1. Open lambda.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-LAM-00004,AWS,lambda,lambda,Data,Deploy -> Scale -> Observe -> Rollback,Regression,Update AWS lambda,AWS access and test data available,"1. Open lambda.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-LAM-00005,AWS,lambda,lambda,Security,Deploy -> Scale -> Observe -> Rollback,UI,Update AWS lambda,AWS access and test data available,"1. Open lambda.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-LAM-00006,AWS,lambda,lambda,DevOps,Provision -> Validate -> Monitor -> Remediate,Functional,Search AWS lambda,AWS access and test data available,"1. Open lambda.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-LAM-00007,AWS,lambda,lambda,Data,Deploy -> Scale -> Observe -> Rollback,Security,Validate AWS lambda,AWS access and test data available,"1. Open lambda.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-LAM-00008,AWS,lambda,lambda,Security,Create -> Protect -> Audit -> Report,Regression,Delete AWS lambda,AWS access and test data available,"1. Open lambda.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-LAM-00009,AWS,lambda,lambda,DevOps,Deploy -> Scale -> Observe -> Rollback,Regression,Create AWS lambda,AWS access and test data available,"1. Open lambda.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-LAM-00010,AWS,lambda,lambda,Security,Create -> Protect -> Audit -> Report,Regression,Submit AWS lambda,AWS access and test data available,"1. Open lambda.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
