Test Case ID,Cloud,Module Group,Module,Domain,E2E Flow,Test Type,Test Scenario,Preconditions,Steps,Expected Result,Priority,Type,Sample Data
WD-REP-00001,Workday,REPORTING,Reports,Corporate,Requisition -> Offer -> Hire -> Onboard -> Payroll,Security,Update Corporate Workday Reports,Workday access is provisioned and Corporate test data exists,"1. Open Workday Reports.
2. Execute: Requisition -> Offer -> Hire -> Onboard -> Payroll.
3. Perform validation and confirm downstream impact.","Requisition -> Offer -> Hire -> Onboard -> Payroll completes successfully with approvals, validations, and audit trail",High,Integration,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REP-00002,Workday,REPORTING,Reports,Corporate,Employee Life Event -> Benefits -> Payroll -> Reporting,Performance,Route Corporate Workday Reports,Workday access is provisioned and Corporate test data exists,"1. Open Workday Reports.
2. Execute: Employee Life Event -> Benefits -> Payroll -> Reporting.
3. Perform validation and confirm downstream impact.","Employee Life Event -> Benefits -> Payroll -> Reporting completes successfully with approvals, validations, and audit trail",Medium,Integration,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REP-00003,Workday,REPORTING,Reports,Corporate,Expense Submit -> Approval -> Accounting -> Reimbursement,Workflow,Sync Corporate Workday Reports,Workday access is provisioned and Corporate test data exists,"1. Open Workday Reports.
2. Execute: Expense Submit -> Approval -> Accounting -> Reimbursement.
3. Perform validation and confirm downstream impact.","Expense Submit -> Approval -> Accounting -> Reimbursement completes successfully with approvals, validations, and audit trail",High,UI,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REP-00004,Workday,REPORTING,Reports,Corporate,Supplier Invoice -> Matching -> Approval -> Payment,Functional,Export Corporate Workday Reports,Workday access is provisioned and Corporate test data exists,"1. Open Workday Reports.
2. Execute: Supplier Invoice -> Matching -> Approval -> Payment.
3. Perform validation and confirm downstream impact.","Supplier Invoice -> Matching -> Approval -> Payment completes successfully with approvals, validations, and audit trail",Medium,Workflow,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REP-00005,Workday,REPORTING,Reports,Corporate,Integration Load -> Validate -> Error Handling -> Reprocess,Workflow,Close Corporate Workday Reports,Workday access is provisioned and Corporate test data exists,"1. Open Workday Reports.
2. Execute: Integration Load -> Validate -> Error Handling -> Reprocess.
3. Perform validation and confirm downstream impact.","Integration Load -> Validate -> Error Handling -> Reprocess completes successfully with approvals, validations, and audit trail",High,Performance,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REP-00006,Workday,REPORTING,Reports,Corporate,Recruiting -> Hire -> Onboard -> Time -> Payroll,Mobile,Create Corporate Workday Reports,Workday access is provisioned and Corporate test data exists,"1. Open Workday Reports.
2. Execute: Recruiting -> Hire -> Onboard -> Time -> Payroll.
3. Perform validation and confirm downstream impact.","Recruiting -> Hire -> Onboard -> Time -> Payroll completes successfully with approvals, validations, and audit trail",High,Security,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REP-00007,Workday,REPORTING,Reports,Corporate,Budget -> Expense -> Journal -> Dashboard,Regression,Route Corporate Workday Reports,Workday access is provisioned and Corporate test data exists,"1. Open Workday Reports.
2. Execute: Budget -> Expense -> Journal -> Dashboard.
3. Perform validation and confirm downstream impact.","Budget -> Expense -> Journal -> Dashboard completes successfully with approvals, validations, and audit trail",High,UI,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REP-00008,Workday,REPORTING,Reports,Retail,Requisition -> Offer -> Hire -> Onboard -> Payroll,Performance,Validate Retail Workday Reports,Workday access is provisioned and Retail test data exists,"1. Open Workday Reports.
2. Execute: Requisition -> Offer -> Hire -> Onboard -> Payroll.
3. Perform validation and confirm downstream impact.","Requisition -> Offer -> Hire -> Onboard -> Payroll completes successfully with approvals, validations, and audit trail",Low,Workflow,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REP-00009,Workday,REPORTING,Reports,Retail,Employee Life Event -> Benefits -> Payroll -> Reporting,Security,Approve Retail Workday Reports,Workday access is provisioned and Retail test data exists,"1. Open Workday Reports.
2. Execute: Employee Life Event -> Benefits -> Payroll -> Reporting.
3. Perform validation and confirm downstream impact.","Employee Life Event -> Benefits -> Payroll -> Reporting completes successfully with approvals, validations, and audit trail",High,Functional,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REP-00010,Workday,REPORTING,Reports,Retail,Expense Submit -> Approval -> Accounting -> Reimbursement,Integration,Close Retail Workday Reports,Workday access is provisioned and Retail test data exists,"1. Open Workday Reports.
2. Execute: Expense Submit -> Approval -> Accounting -> Reimbursement.
3. Perform validation and confirm downstream impact.","Expense Submit -> Approval -> Accounting -> Reimbursement completes successfully with approvals, validations, and audit trail",Low,Performance,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REP-00011,Workday,REPORTING,Reports,Retail,Supplier Invoice -> Matching -> Approval -> Payment,UI,Create Retail Workday Reports,Workday access is provisioned and Retail test data exists,"1. Open Workday Reports.
2. Execute: Supplier Invoice -> Matching -> Approval -> Payment.
3. Perform validation and confirm downstream impact.","Supplier Invoice -> Matching -> Approval -> Payment completes successfully with approvals, validations, and audit trail",Medium,Integration,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REP-00012,Workday,REPORTING,Reports,Retail,Integration Load -> Validate -> Error Handling -> Reprocess,Workflow,Export Retail Workday Reports,Workday access is provisioned and Retail test data exists,"1. Open Workday Reports.
2. Execute: Integration Load -> Validate -> Error Handling -> Reprocess.
3. Perform validation and confirm downstream impact.","Integration Load -> Validate -> Error Handling -> Reprocess completes successfully with approvals, validations, and audit trail",Low,Security,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REP-00013,Workday,REPORTING,Reports,Retail,Recruiting -> Hire -> Onboard -> Time -> Payroll,Integration,Close Retail Workday Reports,Workday access is provisioned and Retail test data exists,"1. Open Workday Reports.
2. Execute: Recruiting -> Hire -> Onboard -> Time -> Payroll.
3. Perform validation and confirm downstream impact.","Recruiting -> Hire -> Onboard -> Time -> Payroll completes successfully with approvals, validations, and audit trail",Medium,Data Migration,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REP-00014,Workday,REPORTING,Reports,Retail,Budget -> Expense -> Journal -> Dashboard,Integration,Submit Retail Workday Reports,Workday access is provisioned and Retail test data exists,"1. Open Workday Reports.
2. Execute: Budget -> Expense -> Journal -> Dashboard.
3. Perform validation and confirm downstream impact.","Budget -> Expense -> Journal -> Dashboard completes successfully with approvals, validations, and audit trail",Low,Workflow,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REP-00015,Workday,REPORTING,Reports,Healthcare,Requisition -> Offer -> Hire -> Onboard -> Payroll,Integration,Create Healthcare Workday Reports,Workday access is provisioned and Healthcare test data exists,"1. Open Workday Reports.
2. Execute: Requisition -> Offer -> Hire -> Onboard -> Payroll.
3. Perform validation and confirm downstream impact.","Requisition -> Offer -> Hire -> Onboard -> Payroll completes successfully with approvals, validations, and audit trail",High,Integration,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REP-00016,Workday,REPORTING,Reports,Healthcare,Employee Life Event -> Benefits -> Payroll -> Reporting,Mobile,Approve Healthcare Workday Reports,Workday access is provisioned and Healthcare test data exists,"1. Open Workday Reports.
2. Execute: Employee Life Event -> Benefits -> Payroll -> Reporting.
3. Perform validation and confirm downstream impact.","Employee Life Event -> Benefits -> Payroll -> Reporting completes successfully with approvals, validations, and audit trail",High,Regression,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REP-00017,Workday,REPORTING,Reports,Healthcare,Expense Submit -> Approval -> Accounting -> Reimbursement,Accessibility,Export Healthcare Workday Reports,Workday access is provisioned and Healthcare test data exists,"1. Open Workday Reports.
2. Execute: Expense Submit -> Approval -> Accounting -> Reimbursement.
3. Perform validation and confirm downstream impact.","Expense Submit -> Approval -> Accounting -> Reimbursement completes successfully with approvals, validations, and audit trail",Low,Integration,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REP-00018,Workday,REPORTING,Reports,Healthcare,Supplier Invoice -> Matching -> Approval -> Payment,UI,Validate Healthcare Workday Reports,Workday access is provisioned and Healthcare test data exists,"1. Open Workday Reports.
2. Execute: Supplier Invoice -> Matching -> Approval -> Payment.
3. Perform validation and confirm downstream impact.","Supplier Invoice -> Matching -> Approval -> Payment completes successfully with approvals, validations, and audit trail",Medium,Security,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REP-00019,Workday,REPORTING,Reports,Healthcare,Integration Load -> Validate -> Error Handling -> Reprocess,Workflow,Export Healthcare Workday Reports,Workday access is provisioned and Healthcare test data exists,"1. Open Workday Reports.
2. Execute: Integration Load -> Validate -> Error Handling -> Reprocess.
3. Perform validation and confirm downstream impact.","Integration Load -> Validate -> Error Handling -> Reprocess completes successfully with approvals, validations, and audit trail",Low,Functional,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REP-00020,Workday,REPORTING,Reports,Healthcare,Recruiting -> Hire -> Onboard -> Time -> Payroll,Mobile,Reject Healthcare Workday Reports,Workday access is provisioned and Healthcare test data exists,"1. Open Workday Reports.
2. Execute: Recruiting -> Hire -> Onboard -> Time -> Payroll.
3. Perform validation and confirm downstream impact.","Recruiting -> Hire -> Onboard -> Time -> Payroll completes successfully with approvals, validations, and audit trail",Medium,UI,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REP-00021,Workday,REPORTING,Reports,Healthcare,Budget -> Expense -> Journal -> Dashboard,Integration,Review Healthcare Workday Reports,Workday access is provisioned and Healthcare test data exists,"1. Open Workday Reports.
2. Execute: Budget -> Expense -> Journal -> Dashboard.
3. Perform validation and confirm downstream impact.","Budget -> Expense -> Journal -> Dashboard completes successfully with approvals, validations, and audit trail",Medium,Functional,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REP-00022,Workday,REPORTING,Reports,Manufacturing,Requisition -> Offer -> Hire -> Onboard -> Payroll,Accessibility,Import Manufacturing Workday Reports,Workday access is provisioned and Manufacturing test data exists,"1. Open Workday Reports.
2. Execute: Requisition -> Offer -> Hire -> Onboard -> Payroll.
3. Perform validation and confirm downstream impact.","Requisition -> Offer -> Hire -> Onboard -> Payroll completes successfully with approvals, validations, and audit trail",High,Performance,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
