Test Case ID,Product,Folder,Capability,Domain,Flow,Test Type,Scenario,Preconditions,Steps,Expected Result,Priority,Sample Data
API-CON-00001,API,contract,contract,B2B API,Schema -> Contract -> Deploy -> Monitor,Accessibility,Create API contract,API access and test data available,"1. Open contract.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""method"": ""GET"", ""endpoint"": ""/v1/items"", ""auth"": ""OAuth2"", ""payload"": ""{}""}"
API-CON-00002,API,contract,contract,Internal API,Create -> Validate -> Respond,Performance,Approve API contract,API access and test data available,"1. Open contract.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""method"": ""GET"", ""endpoint"": ""/v1/items"", ""auth"": ""OAuth2"", ""payload"": ""{}""}"
API-CON-00003,API,contract,contract,Partner API,Schema -> Contract -> Deploy -> Monitor,Security,Approve API contract,API access and test data available,"1. Open contract.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""method"": ""GET"", ""endpoint"": ""/v1/items"", ""auth"": ""OAuth2"", ""payload"": ""{}""}"
API-CON-00004,API,contract,contract,Public API,Auth -> Call -> Verify -> Log,UI,Restore API contract,API access and test data available,"1. Open contract.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""method"": ""GET"", ""endpoint"": ""/v1/items"", ""auth"": ""OAuth2"", ""payload"": ""{}""}"
API-CON-00005,API,contract,contract,B2B API,Auth -> Call -> Verify -> Log,UI,Route API contract,API access and test data available,"1. Open contract.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""method"": ""GET"", ""endpoint"": ""/v1/items"", ""auth"": ""OAuth2"", ""payload"": ""{}""}"
API-CON-00006,API,contract,contract,Partner API,Sync -> Retry -> Recover,Regression,Archive API contract,API access and test data available,"1. Open contract.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""method"": ""GET"", ""endpoint"": ""/v1/items"", ""auth"": ""OAuth2"", ""payload"": ""{}""}"
API-CON-00007,API,contract,contract,Public API,Auth -> Call -> Verify -> Log,Functional,Escalate API contract,API access and test data available,"1. Open contract.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""method"": ""GET"", ""endpoint"": ""/v1/items"", ""auth"": ""OAuth2"", ""payload"": ""{}""}"
API-CON-00008,API,contract,contract,B2B API,Schema -> Contract -> Deploy -> Monitor,Accessibility,Escalate API contract,API access and test data available,"1. Open contract.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""method"": ""GET"", ""endpoint"": ""/v1/items"", ""auth"": ""OAuth2"", ""payload"": ""{}""}"
API-CON-00009,API,contract,contract,Internal API,Create -> Validate -> Respond,Security,Reject API contract,API access and test data available,"1. Open contract.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""method"": ""GET"", ""endpoint"": ""/v1/items"", ""auth"": ""OAuth2"", ""payload"": ""{}""}"
API-CON-00010,API,contract,contract,B2B API,Sync -> Retry -> Recover,Security,Reject API contract,API access and test data available,"1. Open contract.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""method"": ""GET"", ""endpoint"": ""/v1/items"", ""auth"": ""OAuth2"", ""payload"": ""{}""}"
API-CON-00011,API,contract,contract,Internal API,Create -> Validate -> Respond,Functional,Validate API contract,API access and test data available,"1. Open contract.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""method"": ""GET"", ""endpoint"": ""/v1/items"", ""auth"": ""OAuth2"", ""payload"": ""{}""}"
API-CON-00012,API,contract,contract,Public API,Create -> Validate -> Respond,Functional,Validate API contract,API access and test data available,"1. Open contract.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""method"": ""GET"", ""endpoint"": ""/v1/items"", ""auth"": ""OAuth2"", ""payload"": ""{}""}"
API-CON-00013,API,contract,contract,Public API,Auth -> Call -> Verify -> Log,Accessibility,Route API contract,API access and test data available,"1. Open contract.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""method"": ""GET"", ""endpoint"": ""/v1/items"", ""auth"": ""OAuth2"", ""payload"": ""{}""}"
API-CON-00014,API,contract,contract,Partner API,Auth -> Call -> Verify -> Log,Accessibility,Archive API contract,API access and test data available,"1. Open contract.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""method"": ""GET"", ""endpoint"": ""/v1/items"", ""auth"": ""OAuth2"", ""payload"": ""{}""}"
API-CON-00015,API,contract,contract,Internal API,Schema -> Contract -> Deploy -> Monitor,Integration,Validate API contract,API access and test data available,"1. Open contract.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""method"": ""GET"", ""endpoint"": ""/v1/items"", ""auth"": ""OAuth2"", ""payload"": ""{}""}"
