Test Case ID,Product,Folder,Capability,Domain,Flow,Test Type,Scenario,Preconditions,Steps,Expected Result,Priority,Sample Data
WEB-API-00001,WebApps,api,api,SaaS,Open -> Authenticate -> Use -> Close,Integration,Search WebApps api,WebApps access and test data available,"1. Open api.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-API-00002,WebApps,api,api,SaaS,Browse -> Add -> Checkout -> Confirm,Integration,Archive WebApps api,WebApps access and test data available,"1. Open api.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-API-00003,WebApps,api,api,Media,Render -> Interact -> Persist -> Report,Integration,Restore WebApps api,WebApps access and test data available,"1. Open api.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-API-00004,WebApps,api,api,Retail,Render -> Interact -> Persist -> Report,Security,Approve WebApps api,WebApps access and test data available,"1. Open api.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-API-00005,WebApps,api,api,SaaS,Browse -> Add -> Checkout -> Confirm,Regression,Escalate WebApps api,WebApps access and test data available,"1. Open api.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-API-00006,WebApps,api,api,SaaS,Render -> Interact -> Persist -> Report,Performance,Update WebApps api,WebApps access and test data available,"1. Open api.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-API-00007,WebApps,api,api,Retail,Browse -> Add -> Checkout -> Confirm,Security,Edit WebApps api,WebApps access and test data available,"1. Open api.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-API-00008,WebApps,api,api,SaaS,Browse -> Add -> Checkout -> Confirm,Integration,Restore WebApps api,WebApps access and test data available,"1. Open api.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-API-00009,WebApps,api,api,SaaS,Render -> Interact -> Persist -> Report,Security,Approve WebApps api,WebApps access and test data available,"1. Open api.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-API-00010,WebApps,api,api,Retail,Open -> Authenticate -> Use -> Close,Security,Delete WebApps api,WebApps access and test data available,"1. Open api.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-API-00011,WebApps,api,api,Retail,Open -> Authenticate -> Use -> Close,Performance,Route WebApps api,WebApps access and test data available,"1. Open api.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-API-00012,WebApps,api,api,SaaS,Open -> Authenticate -> Use -> Close,Accessibility,Update WebApps api,WebApps access and test data available,"1. Open api.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-API-00013,WebApps,api,api,Media,Render -> Interact -> Persist -> Report,UI,Validate WebApps api,WebApps access and test data available,"1. Open api.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
