Test Case ID,Cloud,Module Group,Module,Domain,E2E Flow,Test Type,Test Scenario,Preconditions,Steps,Expected Result,Priority,Type,Sample Data
WD-PAY-00001,Workday,PAYROLL,Payroll Setup,Corporate,Requisition -> Offer -> Hire -> Onboard -> Payroll,Integration,Route Corporate Workday Payroll Setup,Workday access is provisioned and Corporate test data exists,"1. Open Workday Payroll Setup.
2. Execute: Requisition -> Offer -> Hire -> Onboard -> Payroll.
3. Perform validation and confirm downstream impact.","Requisition -> Offer -> Hire -> Onboard -> Payroll completes successfully with approvals, validations, and audit trail",High,Data Migration,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-PAY-00002,Workday,PAYROLL,Payroll Setup,Corporate,Employee Life Event -> Benefits -> Payroll -> Reporting,Integration,Sync Corporate Workday Payroll Setup,Workday access is provisioned and Corporate test data exists,"1. Open Workday Payroll Setup.
2. Execute: Employee Life Event -> Benefits -> Payroll -> Reporting.
3. Perform validation and confirm downstream impact.","Employee Life Event -> Benefits -> Payroll -> Reporting completes successfully with approvals, validations, and audit trail",Medium,Functional,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-PAY-00003,Workday,PAYROLL,Payroll Setup,Corporate,Expense Submit -> Approval -> Accounting -> Reimbursement,Security,Validate Corporate Workday Payroll Setup,Workday access is provisioned and Corporate test data exists,"1. Open Workday Payroll Setup.
2. Execute: Expense Submit -> Approval -> Accounting -> Reimbursement.
3. Perform validation and confirm downstream impact.","Expense Submit -> Approval -> Accounting -> Reimbursement completes successfully with approvals, validations, and audit trail",Low,UI,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-PAY-00004,Workday,PAYROLL,Payroll Setup,Corporate,Supplier Invoice -> Matching -> Approval -> Payment,Data Migration,Create Corporate Workday Payroll Setup,Workday access is provisioned and Corporate test data exists,"1. Open Workday Payroll Setup.
2. Execute: Supplier Invoice -> Matching -> Approval -> Payment.
3. Perform validation and confirm downstream impact.","Supplier Invoice -> Matching -> Approval -> Payment completes successfully with approvals, validations, and audit trail",High,Functional,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-PAY-00005,Workday,PAYROLL,Payroll Setup,Corporate,Integration Load -> Validate -> Error Handling -> Reprocess,Workflow,Create Corporate Workday Payroll Setup,Workday access is provisioned and Corporate test data exists,"1. Open Workday Payroll Setup.
2. Execute: Integration Load -> Validate -> Error Handling -> Reprocess.
3. Perform validation and confirm downstream impact.","Integration Load -> Validate -> Error Handling -> Reprocess completes successfully with approvals, validations, and audit trail",High,Performance,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-PAY-00006,Workday,PAYROLL,Payroll Setup,Corporate,Recruiting -> Hire -> Onboard -> Time -> Payroll,Data Migration,Approve Corporate Workday Payroll Setup,Workday access is provisioned and Corporate test data exists,"1. Open Workday Payroll Setup.
2. Execute: Recruiting -> Hire -> Onboard -> Time -> Payroll.
3. Perform validation and confirm downstream impact.","Recruiting -> Hire -> Onboard -> Time -> Payroll completes successfully with approvals, validations, and audit trail",Low,Data Migration,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-PAY-00007,Workday,PAYROLL,Payroll Setup,Corporate,Budget -> Expense -> Journal -> Dashboard,Performance,Sync Corporate Workday Payroll Setup,Workday access is provisioned and Corporate test data exists,"1. Open Workday Payroll Setup.
2. Execute: Budget -> Expense -> Journal -> Dashboard.
3. Perform validation and confirm downstream impact.","Budget -> Expense -> Journal -> Dashboard completes successfully with approvals, validations, and audit trail",Medium,Performance,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-PAY-00008,Workday,PAYROLL,Payroll Setup,Retail,Requisition -> Offer -> Hire -> Onboard -> Payroll,Security,Validate Retail Workday Payroll Setup,Workday access is provisioned and Retail test data exists,"1. Open Workday Payroll Setup.
2. Execute: Requisition -> Offer -> Hire -> Onboard -> Payroll.
3. Perform validation and confirm downstream impact.","Requisition -> Offer -> Hire -> Onboard -> Payroll completes successfully with approvals, validations, and audit trail",Low,Mobile,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-PAY-00009,Workday,PAYROLL,Payroll Setup,Retail,Employee Life Event -> Benefits -> Payroll -> Reporting,Mobile,Review Retail Workday Payroll Setup,Workday access is provisioned and Retail test data exists,"1. Open Workday Payroll Setup.
2. Execute: Employee Life Event -> Benefits -> Payroll -> Reporting.
3. Perform validation and confirm downstream impact.","Employee Life Event -> Benefits -> Payroll -> Reporting completes successfully with approvals, validations, and audit trail",High,Integration,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-PAY-00010,Workday,PAYROLL,Payroll Setup,Retail,Expense Submit -> Approval -> Accounting -> Reimbursement,Data Migration,Import Retail Workday Payroll Setup,Workday access is provisioned and Retail test data exists,"1. Open Workday Payroll Setup.
2. Execute: Expense Submit -> Approval -> Accounting -> Reimbursement.
3. Perform validation and confirm downstream impact.","Expense Submit -> Approval -> Accounting -> Reimbursement completes successfully with approvals, validations, and audit trail",High,Performance,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-PAY-00011,Workday,PAYROLL,Payroll Setup,Retail,Supplier Invoice -> Matching -> Approval -> Payment,Workflow,Close Retail Workday Payroll Setup,Workday access is provisioned and Retail test data exists,"1. Open Workday Payroll Setup.
2. Execute: Supplier Invoice -> Matching -> Approval -> Payment.
3. Perform validation and confirm downstream impact.","Supplier Invoice -> Matching -> Approval -> Payment completes successfully with approvals, validations, and audit trail",Medium,Integration,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
