Test Case ID,Platform,Module Group,Module,Domain,E2E Flow,Test Type,Test Scenario,Preconditions,Steps,Expected Result,Priority,Type,Sample Data
ORA-PRO-00001,OracleApps,procurement,Purchasing,Enterprise,Create -> Approve -> Post -> Report,UI,Reject Enterprise OracleApps Purchasing,User has OracleApps access and Enterprise data exists,"1. Open Purchasing.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate end-to-end outcome.","Create -> Approve -> Post -> Report completes with correct status, audit trail, and reporting",High,Regression,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-PRO-00002,OracleApps,procurement,Purchasing,Enterprise,Submit -> Validate -> Approve -> Complete,Integration,Search Enterprise OracleApps Purchasing,User has OracleApps access and Enterprise data exists,"1. Open Purchasing.
2. Execute: Submit -> Validate -> Approve -> Complete.
3. Validate end-to-end outcome.","Submit -> Validate -> Approve -> Complete completes with correct status, audit trail, and reporting",Medium,UI,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-PRO-00003,OracleApps,procurement,Purchasing,Enterprise,Draft -> Review -> Publish -> Archive,Integration,Escalate Enterprise OracleApps Purchasing,User has OracleApps access and Enterprise data exists,"1. Open Purchasing.
2. Execute: Draft -> Review -> Publish -> Archive.
3. Validate end-to-end outcome.","Draft -> Review -> Publish -> Archive completes with correct status, audit trail, and reporting",High,Accessibility,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-PRO-00004,OracleApps,procurement,Purchasing,Enterprise,Configure -> Execute -> Verify -> Close,UI,Reject Enterprise OracleApps Purchasing,User has OracleApps access and Enterprise data exists,"1. Open Purchasing.
2. Execute: Configure -> Execute -> Verify -> Close.
3. Validate end-to-end outcome.","Configure -> Execute -> Verify -> Close completes with correct status, audit trail, and reporting",High,UI,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-PRO-00005,OracleApps,procurement,Purchasing,Retail,Create -> Approve -> Post -> Report,Performance,Create Retail OracleApps Purchasing,User has OracleApps access and Retail data exists,"1. Open Purchasing.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate end-to-end outcome.","Create -> Approve -> Post -> Report completes with correct status, audit trail, and reporting",Low,Security,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-PRO-00006,OracleApps,procurement,Purchasing,Retail,Submit -> Validate -> Approve -> Complete,Accessibility,Update Retail OracleApps Purchasing,User has OracleApps access and Retail data exists,"1. Open Purchasing.
2. Execute: Submit -> Validate -> Approve -> Complete.
3. Validate end-to-end outcome.","Submit -> Validate -> Approve -> Complete completes with correct status, audit trail, and reporting",Low,Regression,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-PRO-00007,OracleApps,procurement,Purchasing,Retail,Draft -> Review -> Publish -> Archive,Workflow,Archive Retail OracleApps Purchasing,User has OracleApps access and Retail data exists,"1. Open Purchasing.
2. Execute: Draft -> Review -> Publish -> Archive.
3. Validate end-to-end outcome.","Draft -> Review -> Publish -> Archive completes with correct status, audit trail, and reporting",High,UI,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-PRO-00008,OracleApps,procurement,Purchasing,Retail,Configure -> Execute -> Verify -> Close,UI,Edit Retail OracleApps Purchasing,User has OracleApps access and Retail data exists,"1. Open Purchasing.
2. Execute: Configure -> Execute -> Verify -> Close.
3. Validate end-to-end outcome.","Configure -> Execute -> Verify -> Close completes with correct status, audit trail, and reporting",High,Security,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-PRO-00009,OracleApps,procurement,Purchasing,Manufacturing,Create -> Approve -> Post -> Report,UI,Submit Manufacturing OracleApps Purchasing,User has OracleApps access and Manufacturing data exists,"1. Open Purchasing.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate end-to-end outcome.","Create -> Approve -> Post -> Report completes with correct status, audit trail, and reporting",Medium,Functional,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-PRO-00010,OracleApps,procurement,Purchasing,Manufacturing,Submit -> Validate -> Approve -> Complete,UI,Clone Manufacturing OracleApps Purchasing,User has OracleApps access and Manufacturing data exists,"1. Open Purchasing.
2. Execute: Submit -> Validate -> Approve -> Complete.
3. Validate end-to-end outcome.","Submit -> Validate -> Approve -> Complete completes with correct status, audit trail, and reporting",Medium,Performance,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-PRO-00011,OracleApps,procurement,Purchasing,Manufacturing,Draft -> Review -> Publish -> Archive,UI,Validate Manufacturing OracleApps Purchasing,User has OracleApps access and Manufacturing data exists,"1. Open Purchasing.
2. Execute: Draft -> Review -> Publish -> Archive.
3. Validate end-to-end outcome.","Draft -> Review -> Publish -> Archive completes with correct status, audit trail, and reporting",Medium,UI,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
