Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
SAP-CON-00001,SAP,concur,Submit SAP concur,SAP test data ready,Create record > route approval > verify status,Success,Low
SAP-CON-00002,SAP,concur,Approve SAP concur,SAP test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SAP-CON-00003,SAP,concur,Create SAP concur,SAP test data ready,Initiate integration > check queue > confirm completion,Success,Low
SAP-CON-00004,SAP,concur,Restore SAP concur,SAP test data ready,Open module > perform action > validate result,Success,Low
SAP-CON-00005,SAP,concur,Edit SAP concur,SAP test data ready,Initiate integration > check queue > confirm completion,Success,Low
SAP-CON-00006,SAP,concur,Edit SAP concur,SAP test data ready,Create record > route approval > verify status,Success,Low
SAP-CON-00007,SAP,concur,Reject SAP concur,SAP test data ready,Initiate integration > check queue > confirm completion,Success,High
SAP-CON-00008,SAP,concur,Reject SAP concur,SAP test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SAP-CON-00009,SAP,concur,Submit SAP concur,SAP test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SAP-CON-00010,SAP,concur,Validate SAP concur,SAP test data ready,Open module > perform action > validate result,Success,High
SAP-CON-00011,SAP,concur,Update SAP concur,SAP test data ready,Open module > perform action > validate result,Success,High
SAP-CON-00012,SAP,concur,Approve SAP concur,SAP test data ready,Submit transaction > sync system > reconcile report,Success,High
SAP-CON-00013,SAP,concur,Restore SAP concur,SAP test data ready,Create record > route approval > verify status,Success,Medium
SAP-CON-00014,SAP,concur,Restore SAP concur,SAP test data ready,Create record > route approval > verify status,Success,Low
SAP-CON-00015,SAP,concur,Search SAP concur,SAP test data ready,Create record > route approval > verify status,Success,Low
SAP-CON-00016,SAP,concur,Approve SAP concur,SAP test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SAP-CON-00017,SAP,concur,Approve SAP concur,SAP test data ready,Submit transaction > sync system > reconcile report,Success,High
SAP-CON-00018,SAP,concur,Search SAP concur,SAP test data ready,Open module > perform action > validate result,Success,High
SAP-CON-00019,SAP,concur,Restore SAP concur,SAP test data ready,Initiate integration > check queue > confirm completion,Success,Low
SAP-CON-00020,SAP,concur,Edit SAP concur,SAP test data ready,Create record > route approval > verify status,Success,High
SAP-CON-00021,SAP,concur,Archive SAP concur,SAP test data ready,Create record > route approval > verify status,Success,High
SAP-CON-00022,SAP,concur,Restore SAP concur,SAP test data ready,Submit transaction > sync system > reconcile report,Success,High
SAP-CON-00023,SAP,concur,Reject SAP concur,SAP test data ready,Submit transaction > sync system > reconcile report,Success,High
SAP-CON-00024,SAP,concur,Approve SAP concur,SAP test data ready,Open module > perform action > validate result,Success,High
SAP-CON-00025,SAP,concur,Escalate SAP concur,SAP test data ready,Submit transaction > sync system > reconcile report,Success,High
SAP-CON-00026,SAP,concur,Restore SAP concur,SAP test data ready,Create record > route approval > verify status,Success,High
SAP-CON-00027,SAP,concur,Edit SAP concur,SAP test data ready,Create record > route approval > verify status,Success,Low
SAP-CON-00028,SAP,concur,Approve SAP concur,SAP test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SAP-CON-00029,SAP,concur,Edit SAP concur,SAP test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SAP-CON-00030,SAP,concur,Submit SAP concur,SAP test data ready,Submit transaction > sync system > reconcile report,Success,Low
SAP-CON-00031,SAP,concur,Create SAP concur,SAP test data ready,Open module > perform action > validate result,Success,Medium
SAP-CON-00032,SAP,concur,Reject SAP concur,SAP test data ready,Submit transaction > sync system > reconcile report,Success,Low
SAP-CON-00033,SAP,concur,Edit SAP concur,SAP test data ready,Initiate integration > check queue > confirm completion,Success,High
SAP-CON-00034,SAP,concur,Delete SAP concur,SAP test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SAP-CON-00035,SAP,concur,Create SAP concur,SAP test data ready,Initiate integration > check queue > confirm completion,Success,High
SAP-CON-00036,SAP,concur,Edit SAP concur,SAP test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SAP-CON-00037,SAP,concur,Edit SAP concur,SAP test data ready,Open module > perform action > validate result,Success,Low
SAP-CON-00038,SAP,concur,Escalate SAP concur,SAP test data ready,Create record > route approval > verify status,Success,Low
SAP-CON-00039,SAP,concur,Route SAP concur,SAP test data ready,Initiate integration > check queue > confirm completion,Success,Low
SAP-CON-00040,SAP,concur,Archive SAP concur,SAP test data ready,Submit transaction > sync system > reconcile report,Success,Low
SAP-CON-00041,SAP,concur,Search SAP concur,SAP test data ready,Open module > perform action > validate result,Success,Medium
