Test Case ID,Product,Folder,Capability,Domain,Flow,Test Type,Scenario,Preconditions,Steps,Expected Result,Priority,Sample Data
AZU-VM-00001,Azure,vm,vm,Security,Create -> Protect -> Audit -> Report,Integration,Search Azure vm,Azure access and test data available,"1. Open vm.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-VM-00002,Azure,vm,vm,Platform,Deploy -> Scale -> Observe -> Rollback,Integration,Validate Azure vm,Azure access and test data available,"1. Open vm.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-VM-00003,Azure,vm,vm,Data,Provision -> Validate -> Monitor -> Remediate,Regression,Create Azure vm,Azure access and test data available,"1. Open vm.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-VM-00004,Azure,vm,vm,DevOps,Deploy -> Scale -> Observe -> Rollback,Security,Escalate Azure vm,Azure access and test data available,"1. Open vm.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-VM-00005,Azure,vm,vm,Data,Provision -> Validate -> Monitor -> Remediate,Functional,Update Azure vm,Azure access and test data available,"1. Open vm.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-VM-00006,Azure,vm,vm,DevOps,Create -> Protect -> Audit -> Report,Integration,Create Azure vm,Azure access and test data available,"1. Open vm.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-VM-00007,Azure,vm,vm,Security,Provision -> Validate -> Monitor -> Remediate,Regression,Update Azure vm,Azure access and test data available,"1. Open vm.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-VM-00008,Azure,vm,vm,Security,Provision -> Validate -> Monitor -> Remediate,Performance,Restore Azure vm,Azure access and test data available,"1. Open vm.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-VM-00009,Azure,vm,vm,Security,Provision -> Validate -> Monitor -> Remediate,Regression,Submit Azure vm,Azure access and test data available,"1. Open vm.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-VM-00010,Azure,vm,vm,Platform,Deploy -> Scale -> Observe -> Rollback,Regression,Clone Azure vm,Azure access and test data available,"1. Open vm.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-VM-00011,Azure,vm,vm,Platform,Deploy -> Scale -> Observe -> Rollback,Accessibility,Validate Azure vm,Azure access and test data available,"1. Open vm.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-VM-00012,Azure,vm,vm,Data,Create -> Protect -> Audit -> Report,UI,Edit Azure vm,Azure access and test data available,"1. Open vm.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-VM-00013,Azure,vm,vm,Platform,Create -> Protect -> Audit -> Report,Regression,Archive Azure vm,Azure access and test data available,"1. Open vm.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-VM-00014,Azure,vm,vm,DevOps,Provision -> Validate -> Monitor -> Remediate,Functional,Clone Azure vm,Azure access and test data available,"1. Open vm.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-VM-00015,Azure,vm,vm,Data,Provision -> Validate -> Monitor -> Remediate,Regression,Create Azure vm,Azure access and test data available,"1. Open vm.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-VM-00016,Azure,vm,vm,Data,Deploy -> Scale -> Observe -> Rollback,Integration,Create Azure vm,Azure access and test data available,"1. Open vm.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-VM-00017,Azure,vm,vm,Platform,Deploy -> Scale -> Observe -> Rollback,UI,Delete Azure vm,Azure access and test data available,"1. Open vm.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-VM-00018,Azure,vm,vm,Security,Deploy -> Scale -> Observe -> Rollback,UI,Route Azure vm,Azure access and test data available,"1. Open vm.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
