Test Case ID,Platform,Module Group,Module,Domain,E2E Flow,Test Type,Test Scenario,Preconditions,Steps,Expected Result,Priority,Type,Sample Data
ORA-FIN-00001,OracleApps,financials,General Ledger,Enterprise,Create -> Approve -> Post -> Report,Integration,Update Enterprise OracleApps General Ledger,User has OracleApps access and Enterprise data exists,"1. Open General Ledger.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate end-to-end outcome.","Create -> Approve -> Post -> Report completes with correct status, audit trail, and reporting",Low,Regression,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-FIN-00002,OracleApps,financials,General Ledger,Enterprise,Submit -> Validate -> Approve -> Complete,Performance,Search Enterprise OracleApps General Ledger,User has OracleApps access and Enterprise data exists,"1. Open General Ledger.
2. Execute: Submit -> Validate -> Approve -> Complete.
3. Validate end-to-end outcome.","Submit -> Validate -> Approve -> Complete completes with correct status, audit trail, and reporting",Medium,Accessibility,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-FIN-00003,OracleApps,financials,General Ledger,Enterprise,Draft -> Review -> Publish -> Archive,UI,Reject Enterprise OracleApps General Ledger,User has OracleApps access and Enterprise data exists,"1. Open General Ledger.
2. Execute: Draft -> Review -> Publish -> Archive.
3. Validate end-to-end outcome.","Draft -> Review -> Publish -> Archive completes with correct status, audit trail, and reporting",Medium,UI,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-FIN-00004,OracleApps,financials,General Ledger,Enterprise,Configure -> Execute -> Verify -> Close,Integration,Update Enterprise OracleApps General Ledger,User has OracleApps access and Enterprise data exists,"1. Open General Ledger.
2. Execute: Configure -> Execute -> Verify -> Close.
3. Validate end-to-end outcome.","Configure -> Execute -> Verify -> Close completes with correct status, audit trail, and reporting",Low,Performance,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-FIN-00005,OracleApps,financials,General Ledger,Retail,Create -> Approve -> Post -> Report,Functional,Reject Retail OracleApps General Ledger,User has OracleApps access and Retail data exists,"1. Open General Ledger.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate end-to-end outcome.","Create -> Approve -> Post -> Report completes with correct status, audit trail, and reporting",High,UI,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-FIN-00006,OracleApps,financials,General Ledger,Retail,Submit -> Validate -> Approve -> Complete,Regression,Approve Retail OracleApps General Ledger,User has OracleApps access and Retail data exists,"1. Open General Ledger.
2. Execute: Submit -> Validate -> Approve -> Complete.
3. Validate end-to-end outcome.","Submit -> Validate -> Approve -> Complete completes with correct status, audit trail, and reporting",Low,Functional,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-FIN-00007,OracleApps,financials,General Ledger,Retail,Draft -> Review -> Publish -> Archive,UI,Route Retail OracleApps General Ledger,User has OracleApps access and Retail data exists,"1. Open General Ledger.
2. Execute: Draft -> Review -> Publish -> Archive.
3. Validate end-to-end outcome.","Draft -> Review -> Publish -> Archive completes with correct status, audit trail, and reporting",Medium,Regression,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-FIN-00008,OracleApps,financials,General Ledger,Retail,Configure -> Execute -> Verify -> Close,Workflow,Reject Retail OracleApps General Ledger,User has OracleApps access and Retail data exists,"1. Open General Ledger.
2. Execute: Configure -> Execute -> Verify -> Close.
3. Validate end-to-end outcome.","Configure -> Execute -> Verify -> Close completes with correct status, audit trail, and reporting",Medium,Functional,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-FIN-00009,OracleApps,financials,General Ledger,Manufacturing,Create -> Approve -> Post -> Report,Security,Create Manufacturing OracleApps General Ledger,User has OracleApps access and Manufacturing data exists,"1. Open General Ledger.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate end-to-end outcome.","Create -> Approve -> Post -> Report completes with correct status, audit trail, and reporting",High,Accessibility,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-FIN-00010,OracleApps,financials,General Ledger,Manufacturing,Submit -> Validate -> Approve -> Complete,Regression,Delete Manufacturing OracleApps General Ledger,User has OracleApps access and Manufacturing data exists,"1. Open General Ledger.
2. Execute: Submit -> Validate -> Approve -> Complete.
3. Validate end-to-end outcome.","Submit -> Validate -> Approve -> Complete completes with correct status, audit trail, and reporting",Medium,Functional,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
