Test Case ID,Cloud,Module Group,Module,Domain,E2E Flow,Test Type,Test Scenario,Preconditions,Steps,Expected Result,Priority,Type
WD-00001,Workday,E2E,Core,Corporate,Flow,UI,Review Workday E2E,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
WD-00002,Workday,E2E,Core,Corporate,Flow,UI,Review Workday E2E,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
WD-00003,Workday,E2E,Core,Corporate,Flow,UI,Review Workday E2E,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
WD-00004,Workday,E2E,Core,Corporate,Flow,UI,Review Workday E2E,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
WD-00005,Workday,E2E,Core,Corporate,Flow,UI,Review Workday E2E,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
WD-00006,Workday,E2E,Core,Corporate,Flow,UI,Review Workday E2E,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
WD-00007,Workday,E2E,Core,Corporate,Flow,UI,Review Workday E2E,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
WD-00008,Workday,E2E,Core,Corporate,Flow,UI,Review Workday E2E,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
WD-00009,Workday,E2E,Core,Corporate,Flow,UI,Review Workday E2E,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
WD-00010,Workday,E2E,Core,Corporate,Flow,UI,Review Workday E2E,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
WD-00011,Workday,E2E,Core,Corporate,Flow,UI,Review Workday E2E,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
WD-00012,Workday,E2E,Core,Corporate,Flow,UI,Review Workday E2E,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
WD-00013,Workday,E2E,Core,Corporate,Flow,UI,Review Workday E2E,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
WD-00014,Workday,E2E,Core,Corporate,Flow,UI,Review Workday E2E,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
WD-00015,Workday,E2E,Core,Corporate,Flow,UI,Review Workday E2E,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
WD-00016,Workday,E2E,Core,Corporate,Flow,UI,Review Workday E2E,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
WD-00017,Workday,E2E,Core,Corporate,Flow,UI,Review Workday E2E,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
WD-00018,Workday,E2E,Core,Corporate,Flow,UI,Review Workday E2E,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
