Test Case ID,Platform,Module Group,Module,Domain,E2E Flow,Test Type,Test Scenario,Preconditions,Steps,Expected Result,Priority,Type,Sample Data
DYN-PRO-00001,Dynamics365,project_ops,Projects,Retail,Create -> Approve -> Post -> Report,Performance,Restore Retail Dynamics365 Projects,User has Dynamics365 access and Retail data exists,"1. Open Projects.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate end-to-end outcome.","Create -> Approve -> Post -> Report completes with correct status, audit trail, and reporting",Low,Performance,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
DYN-PRO-00002,Dynamics365,project_ops,Projects,Retail,Submit -> Validate -> Approve -> Complete,Functional,Create Retail Dynamics365 Projects,User has Dynamics365 access and Retail data exists,"1. Open Projects.
2. Execute: Submit -> Validate -> Approve -> Complete.
3. Validate end-to-end outcome.","Submit -> Validate -> Approve -> Complete completes with correct status, audit trail, and reporting",Medium,Security,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
DYN-PRO-00003,Dynamics365,project_ops,Projects,Retail,Draft -> Review -> Publish -> Archive,Accessibility,Route Retail Dynamics365 Projects,User has Dynamics365 access and Retail data exists,"1. Open Projects.
2. Execute: Draft -> Review -> Publish -> Archive.
3. Validate end-to-end outcome.","Draft -> Review -> Publish -> Archive completes with correct status, audit trail, and reporting",Medium,Accessibility,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
DYN-PRO-00004,Dynamics365,project_ops,Projects,Retail,Configure -> Execute -> Verify -> Close,Functional,Update Retail Dynamics365 Projects,User has Dynamics365 access and Retail data exists,"1. Open Projects.
2. Execute: Configure -> Execute -> Verify -> Close.
3. Validate end-to-end outcome.","Configure -> Execute -> Verify -> Close completes with correct status, audit trail, and reporting",Medium,Integration,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
DYN-PRO-00005,Dynamics365,project_ops,Projects,Manufacturing,Create -> Approve -> Post -> Report,Integration,Archive Manufacturing Dynamics365 Projects,User has Dynamics365 access and Manufacturing data exists,"1. Open Projects.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate end-to-end outcome.","Create -> Approve -> Post -> Report completes with correct status, audit trail, and reporting",Low,UI,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
DYN-PRO-00006,Dynamics365,project_ops,Projects,Manufacturing,Submit -> Validate -> Approve -> Complete,Workflow,Escalate Manufacturing Dynamics365 Projects,User has Dynamics365 access and Manufacturing data exists,"1. Open Projects.
2. Execute: Submit -> Validate -> Approve -> Complete.
3. Validate end-to-end outcome.","Submit -> Validate -> Approve -> Complete completes with correct status, audit trail, and reporting",Medium,Regression,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
DYN-PRO-00007,Dynamics365,project_ops,Projects,Manufacturing,Draft -> Review -> Publish -> Archive,Integration,Archive Manufacturing Dynamics365 Projects,User has Dynamics365 access and Manufacturing data exists,"1. Open Projects.
2. Execute: Draft -> Review -> Publish -> Archive.
3. Validate end-to-end outcome.","Draft -> Review -> Publish -> Archive completes with correct status, audit trail, and reporting",Medium,Performance,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
DYN-PRO-00008,Dynamics365,project_ops,Projects,Manufacturing,Configure -> Execute -> Verify -> Close,Accessibility,Create Manufacturing Dynamics365 Projects,User has Dynamics365 access and Manufacturing data exists,"1. Open Projects.
2. Execute: Configure -> Execute -> Verify -> Close.
3. Validate end-to-end outcome.","Configure -> Execute -> Verify -> Close completes with correct status, audit trail, and reporting",Medium,Performance,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
DYN-PRO-00009,Dynamics365,project_ops,Projects,Healthcare,Create -> Approve -> Post -> Report,Integration,Clone Healthcare Dynamics365 Projects,User has Dynamics365 access and Healthcare data exists,"1. Open Projects.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate end-to-end outcome.","Create -> Approve -> Post -> Report completes with correct status, audit trail, and reporting",Medium,Regression,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
DYN-PRO-00010,Dynamics365,project_ops,Projects,Healthcare,Submit -> Validate -> Approve -> Complete,Security,Reject Healthcare Dynamics365 Projects,User has Dynamics365 access and Healthcare data exists,"1. Open Projects.
2. Execute: Submit -> Validate -> Approve -> Complete.
3. Validate end-to-end outcome.","Submit -> Validate -> Approve -> Complete completes with correct status, audit trail, and reporting",Medium,Functional,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
