Test Case ID,Product,Folder,Capability,Domain,Flow,Test Type,Scenario,Preconditions,Steps,Expected Result,Priority,Sample Data
GCP-COM-00001,GCP,compute,compute,Security,Deploy -> Scale -> Observe -> Rollback,Functional,Reject GCP compute,GCP access and test data available,"1. Open compute.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-COM-00002,GCP,compute,compute,Security,Deploy -> Scale -> Observe -> Rollback,Functional,Delete GCP compute,GCP access and test data available,"1. Open compute.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-COM-00003,GCP,compute,compute,DevOps,Deploy -> Scale -> Observe -> Rollback,Security,Update GCP compute,GCP access and test data available,"1. Open compute.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-COM-00004,GCP,compute,compute,DevOps,Provision -> Validate -> Monitor -> Remediate,Security,Archive GCP compute,GCP access and test data available,"1. Open compute.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-COM-00005,GCP,compute,compute,Platform,Deploy -> Scale -> Observe -> Rollback,Integration,Create GCP compute,GCP access and test data available,"1. Open compute.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-COM-00006,GCP,compute,compute,Data,Provision -> Validate -> Monitor -> Remediate,Functional,Clone GCP compute,GCP access and test data available,"1. Open compute.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-COM-00007,GCP,compute,compute,DevOps,Deploy -> Scale -> Observe -> Rollback,Functional,Clone GCP compute,GCP access and test data available,"1. Open compute.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-COM-00008,GCP,compute,compute,Data,Deploy -> Scale -> Observe -> Rollback,Integration,Escalate GCP compute,GCP access and test data available,"1. Open compute.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-COM-00009,GCP,compute,compute,Platform,Deploy -> Scale -> Observe -> Rollback,Functional,Submit GCP compute,GCP access and test data available,"1. Open compute.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-COM-00010,GCP,compute,compute,Platform,Provision -> Validate -> Monitor -> Remediate,Accessibility,Update GCP compute,GCP access and test data available,"1. Open compute.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-COM-00011,GCP,compute,compute,Platform,Provision -> Validate -> Monitor -> Remediate,Regression,Update GCP compute,GCP access and test data available,"1. Open compute.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-COM-00012,GCP,compute,compute,Data,Provision -> Validate -> Monitor -> Remediate,Performance,Search GCP compute,GCP access and test data available,"1. Open compute.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-COM-00013,GCP,compute,compute,Platform,Create -> Protect -> Audit -> Report,Integration,Edit GCP compute,GCP access and test data available,"1. Open compute.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
