Test Case ID,Product,Folder,Capability,Domain,Flow,Test Type,Scenario,Preconditions,Steps,Expected Result,Priority,Sample Data
WEB-UI-00001,WebApps,ui,ui,SaaS,Render -> Interact -> Persist -> Report,Regression,Create WebApps ui,WebApps access and test data available,"1. Open ui.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-UI-00002,WebApps,ui,ui,SaaS,Browse -> Add -> Checkout -> Confirm,UI,Search WebApps ui,WebApps access and test data available,"1. Open ui.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-UI-00003,WebApps,ui,ui,Marketplace,Browse -> Add -> Checkout -> Confirm,Security,Search WebApps ui,WebApps access and test data available,"1. Open ui.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-UI-00004,WebApps,ui,ui,Media,Render -> Interact -> Persist -> Report,Security,Escalate WebApps ui,WebApps access and test data available,"1. Open ui.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-UI-00005,WebApps,ui,ui,Marketplace,Browse -> Add -> Checkout -> Confirm,Integration,Escalate WebApps ui,WebApps access and test data available,"1. Open ui.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-UI-00006,WebApps,ui,ui,Marketplace,Render -> Interact -> Persist -> Report,Integration,Approve WebApps ui,WebApps access and test data available,"1. Open ui.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-UI-00007,WebApps,ui,ui,Media,Browse -> Add -> Checkout -> Confirm,Performance,Edit WebApps ui,WebApps access and test data available,"1. Open ui.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-UI-00008,WebApps,ui,ui,Marketplace,Open -> Authenticate -> Use -> Close,UI,Reject WebApps ui,WebApps access and test data available,"1. Open ui.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-UI-00009,WebApps,ui,ui,Retail,Browse -> Add -> Checkout -> Confirm,Accessibility,Approve WebApps ui,WebApps access and test data available,"1. Open ui.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-UI-00010,WebApps,ui,ui,SaaS,Browse -> Add -> Checkout -> Confirm,Regression,Approve WebApps ui,WebApps access and test data available,"1. Open ui.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-UI-00011,WebApps,ui,ui,Marketplace,Open -> Authenticate -> Use -> Close,Functional,Delete WebApps ui,WebApps access and test data available,"1. Open ui.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-UI-00012,WebApps,ui,ui,Retail,Open -> Authenticate -> Use -> Close,Regression,Validate WebApps ui,WebApps access and test data available,"1. Open ui.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-UI-00013,WebApps,ui,ui,Media,Render -> Interact -> Persist -> Report,Integration,Search WebApps ui,WebApps access and test data available,"1. Open ui.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-UI-00014,WebApps,ui,ui,SaaS,Render -> Interact -> Persist -> Report,UI,Reject WebApps ui,WebApps access and test data available,"1. Open ui.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
