Test Case ID,Platform,Module Group,Module,Domain,E2E Flow,Test Type,Test Scenario,Preconditions,Steps,Expected Result,Priority,Type,Sample Data
DYN-SUP-00001,Dynamics365,supply_chain,Inventory,Retail,Create -> Approve -> Post -> Report,Integration,Archive Retail Dynamics365 Inventory,User has Dynamics365 access and Retail data exists,"1. Open Inventory.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate end-to-end outcome.","Create -> Approve -> Post -> Report completes with correct status, audit trail, and reporting",High,UI,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
DYN-SUP-00002,Dynamics365,supply_chain,Inventory,Retail,Submit -> Validate -> Approve -> Complete,Functional,Validate Retail Dynamics365 Inventory,User has Dynamics365 access and Retail data exists,"1. Open Inventory.
2. Execute: Submit -> Validate -> Approve -> Complete.
3. Validate end-to-end outcome.","Submit -> Validate -> Approve -> Complete completes with correct status, audit trail, and reporting",Low,Performance,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
DYN-SUP-00003,Dynamics365,supply_chain,Inventory,Retail,Draft -> Review -> Publish -> Archive,Security,Edit Retail Dynamics365 Inventory,User has Dynamics365 access and Retail data exists,"1. Open Inventory.
2. Execute: Draft -> Review -> Publish -> Archive.
3. Validate end-to-end outcome.","Draft -> Review -> Publish -> Archive completes with correct status, audit trail, and reporting",Medium,UI,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
DYN-SUP-00004,Dynamics365,supply_chain,Inventory,Retail,Configure -> Execute -> Verify -> Close,Accessibility,Clone Retail Dynamics365 Inventory,User has Dynamics365 access and Retail data exists,"1. Open Inventory.
2. Execute: Configure -> Execute -> Verify -> Close.
3. Validate end-to-end outcome.","Configure -> Execute -> Verify -> Close completes with correct status, audit trail, and reporting",Low,Functional,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
DYN-SUP-00005,Dynamics365,supply_chain,Inventory,Manufacturing,Create -> Approve -> Post -> Report,Functional,Restore Manufacturing Dynamics365 Inventory,User has Dynamics365 access and Manufacturing data exists,"1. Open Inventory.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate end-to-end outcome.","Create -> Approve -> Post -> Report completes with correct status, audit trail, and reporting",Low,Integration,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
DYN-SUP-00006,Dynamics365,supply_chain,Inventory,Manufacturing,Submit -> Validate -> Approve -> Complete,Security,Delete Manufacturing Dynamics365 Inventory,User has Dynamics365 access and Manufacturing data exists,"1. Open Inventory.
2. Execute: Submit -> Validate -> Approve -> Complete.
3. Validate end-to-end outcome.","Submit -> Validate -> Approve -> Complete completes with correct status, audit trail, and reporting",Medium,Integration,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
DYN-SUP-00007,Dynamics365,supply_chain,Inventory,Manufacturing,Draft -> Review -> Publish -> Archive,Security,Submit Manufacturing Dynamics365 Inventory,User has Dynamics365 access and Manufacturing data exists,"1. Open Inventory.
2. Execute: Draft -> Review -> Publish -> Archive.
3. Validate end-to-end outcome.","Draft -> Review -> Publish -> Archive completes with correct status, audit trail, and reporting",Low,UI,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
DYN-SUP-00008,Dynamics365,supply_chain,Inventory,Manufacturing,Configure -> Execute -> Verify -> Close,Regression,Edit Manufacturing Dynamics365 Inventory,User has Dynamics365 access and Manufacturing data exists,"1. Open Inventory.
2. Execute: Configure -> Execute -> Verify -> Close.
3. Validate end-to-end outcome.","Configure -> Execute -> Verify -> Close completes with correct status, audit trail, and reporting",High,Workflow,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
DYN-SUP-00009,Dynamics365,supply_chain,Inventory,Healthcare,Create -> Approve -> Post -> Report,Workflow,Escalate Healthcare Dynamics365 Inventory,User has Dynamics365 access and Healthcare data exists,"1. Open Inventory.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate end-to-end outcome.","Create -> Approve -> Post -> Report completes with correct status, audit trail, and reporting",High,Accessibility,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
DYN-SUP-00010,Dynamics365,supply_chain,Inventory,Healthcare,Submit -> Validate -> Approve -> Complete,Integration,Route Healthcare Dynamics365 Inventory,User has Dynamics365 access and Healthcare data exists,"1. Open Inventory.
2. Execute: Submit -> Validate -> Approve -> Complete.
3. Validate end-to-end outcome.","Submit -> Validate -> Approve -> Complete completes with correct status, audit trail, and reporting",Low,Workflow,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
DYN-SUP-00011,Dynamics365,supply_chain,Inventory,Healthcare,Draft -> Review -> Publish -> Archive,Security,Route Healthcare Dynamics365 Inventory,User has Dynamics365 access and Healthcare data exists,"1. Open Inventory.
2. Execute: Draft -> Review -> Publish -> Archive.
3. Validate end-to-end outcome.","Draft -> Review -> Publish -> Archive completes with correct status, audit trail, and reporting",High,Functional,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
DYN-SUP-00012,Dynamics365,supply_chain,Inventory,Healthcare,Configure -> Execute -> Verify -> Close,Regression,Create Healthcare Dynamics365 Inventory,User has Dynamics365 access and Healthcare data exists,"1. Open Inventory.
2. Execute: Configure -> Execute -> Verify -> Close.
3. Validate end-to-end outcome.","Configure -> Execute -> Verify -> Close completes with correct status, audit trail, and reporting",Low,Regression,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
DYN-SUP-00013,Dynamics365,supply_chain,Inventory,Professional Services,Create -> Approve -> Post -> Report,Security,Update Professional Services Dynamics365 Inventory,User has Dynamics365 access and Professional Services data exists,"1. Open Inventory.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate end-to-end outcome.","Create -> Approve -> Post -> Report completes with correct status, audit trail, and reporting",Medium,Regression,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
