Test Case ID,Product,Folder,Capability,Domain,Flow,Test Type,Scenario,Preconditions,Steps,Expected Result,Priority,Sample Data
GCP-BIG-00001,GCP,bigquery,bigquery,Platform,Provision -> Validate -> Monitor -> Remediate,Functional,Submit GCP bigquery,GCP access and test data available,"1. Open bigquery.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-BIG-00002,GCP,bigquery,bigquery,DevOps,Provision -> Validate -> Monitor -> Remediate,Security,Approve GCP bigquery,GCP access and test data available,"1. Open bigquery.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-BIG-00003,GCP,bigquery,bigquery,DevOps,Create -> Protect -> Audit -> Report,UI,Search GCP bigquery,GCP access and test data available,"1. Open bigquery.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-BIG-00004,GCP,bigquery,bigquery,DevOps,Create -> Protect -> Audit -> Report,Functional,Edit GCP bigquery,GCP access and test data available,"1. Open bigquery.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-BIG-00005,GCP,bigquery,bigquery,Security,Create -> Protect -> Audit -> Report,Security,Approve GCP bigquery,GCP access and test data available,"1. Open bigquery.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-BIG-00006,GCP,bigquery,bigquery,Data,Create -> Protect -> Audit -> Report,UI,Update GCP bigquery,GCP access and test data available,"1. Open bigquery.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-BIG-00007,GCP,bigquery,bigquery,Data,Deploy -> Scale -> Observe -> Rollback,Performance,Escalate GCP bigquery,GCP access and test data available,"1. Open bigquery.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-BIG-00008,GCP,bigquery,bigquery,Platform,Create -> Protect -> Audit -> Report,UI,Clone GCP bigquery,GCP access and test data available,"1. Open bigquery.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-BIG-00009,GCP,bigquery,bigquery,Security,Create -> Protect -> Audit -> Report,Functional,Search GCP bigquery,GCP access and test data available,"1. Open bigquery.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-BIG-00010,GCP,bigquery,bigquery,DevOps,Deploy -> Scale -> Observe -> Rollback,Performance,Update GCP bigquery,GCP access and test data available,"1. Open bigquery.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
