Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
QUA-XM_-00001,Qualtrics,xm_programs,Approve Qualtrics xm_programs,Qualtrics test data ready,Open module > perform action > validate result,Success,High
QUA-XM_-00002,Qualtrics,xm_programs,Route Qualtrics xm_programs,Qualtrics test data ready,Open module > perform action > validate result,Success,Low
QUA-XM_-00003,Qualtrics,xm_programs,Update Qualtrics xm_programs,Qualtrics test data ready,Create record > route approval > verify status,Success,Medium
QUA-XM_-00004,Qualtrics,xm_programs,Submit Qualtrics xm_programs,Qualtrics test data ready,Open module > perform action > validate result,Success,Low
QUA-XM_-00005,Qualtrics,xm_programs,Update Qualtrics xm_programs,Qualtrics test data ready,Initiate integration > check queue > confirm completion,Success,High
QUA-XM_-00006,Qualtrics,xm_programs,Edit Qualtrics xm_programs,Qualtrics test data ready,Create record > route approval > verify status,Success,Low
QUA-XM_-00007,Qualtrics,xm_programs,Edit Qualtrics xm_programs,Qualtrics test data ready,Create record > route approval > verify status,Success,High
QUA-XM_-00008,Qualtrics,xm_programs,Delete Qualtrics xm_programs,Qualtrics test data ready,Create record > route approval > verify status,Success,High
QUA-XM_-00009,Qualtrics,xm_programs,Validate Qualtrics xm_programs,Qualtrics test data ready,Create record > route approval > verify status,Success,Medium
QUA-XM_-00010,Qualtrics,xm_programs,Delete Qualtrics xm_programs,Qualtrics test data ready,Submit transaction > sync system > reconcile report,Success,High
QUA-XM_-00011,Qualtrics,xm_programs,Search Qualtrics xm_programs,Qualtrics test data ready,Initiate integration > check queue > confirm completion,Success,High
QUA-XM_-00012,Qualtrics,xm_programs,Submit Qualtrics xm_programs,Qualtrics test data ready,Create record > route approval > verify status,Success,Low
QUA-XM_-00013,Qualtrics,xm_programs,Submit Qualtrics xm_programs,Qualtrics test data ready,Open module > perform action > validate result,Success,High
QUA-XM_-00014,Qualtrics,xm_programs,Clone Qualtrics xm_programs,Qualtrics test data ready,Submit transaction > sync system > reconcile report,Success,High
QUA-XM_-00015,Qualtrics,xm_programs,Reject Qualtrics xm_programs,Qualtrics test data ready,Initiate integration > check queue > confirm completion,Success,High
QUA-XM_-00016,Qualtrics,xm_programs,Edit Qualtrics xm_programs,Qualtrics test data ready,Create record > route approval > verify status,Success,Low
QUA-XM_-00017,Qualtrics,xm_programs,Restore Qualtrics xm_programs,Qualtrics test data ready,Submit transaction > sync system > reconcile report,Success,High
QUA-XM_-00018,Qualtrics,xm_programs,Create Qualtrics xm_programs,Qualtrics test data ready,Initiate integration > check queue > confirm completion,Success,High
QUA-XM_-00019,Qualtrics,xm_programs,Archive Qualtrics xm_programs,Qualtrics test data ready,Open module > perform action > validate result,Success,High
QUA-XM_-00020,Qualtrics,xm_programs,Delete Qualtrics xm_programs,Qualtrics test data ready,Open module > perform action > validate result,Success,Low
QUA-XM_-00021,Qualtrics,xm_programs,Reject Qualtrics xm_programs,Qualtrics test data ready,Open module > perform action > validate result,Success,Low
QUA-XM_-00022,Qualtrics,xm_programs,Escalate Qualtrics xm_programs,Qualtrics test data ready,Open module > perform action > validate result,Success,Medium
QUA-XM_-00023,Qualtrics,xm_programs,Clone Qualtrics xm_programs,Qualtrics test data ready,Submit transaction > sync system > reconcile report,Success,High
QUA-XM_-00024,Qualtrics,xm_programs,Restore Qualtrics xm_programs,Qualtrics test data ready,Initiate integration > check queue > confirm completion,Success,Low
QUA-XM_-00025,Qualtrics,xm_programs,Restore Qualtrics xm_programs,Qualtrics test data ready,Submit transaction > sync system > reconcile report,Success,Medium
QUA-XM_-00026,Qualtrics,xm_programs,Validate Qualtrics xm_programs,Qualtrics test data ready,Create record > route approval > verify status,Success,Medium
QUA-XM_-00027,Qualtrics,xm_programs,Create Qualtrics xm_programs,Qualtrics test data ready,Initiate integration > check queue > confirm completion,Success,Medium
QUA-XM_-00028,Qualtrics,xm_programs,Search Qualtrics xm_programs,Qualtrics test data ready,Initiate integration > check queue > confirm completion,Success,Medium
QUA-XM_-00029,Qualtrics,xm_programs,Reject Qualtrics xm_programs,Qualtrics test data ready,Open module > perform action > validate result,Success,Medium
QUA-XM_-00030,Qualtrics,xm_programs,Clone Qualtrics xm_programs,Qualtrics test data ready,Open module > perform action > validate result,Success,Medium
QUA-XM_-00031,Qualtrics,xm_programs,Escalate Qualtrics xm_programs,Qualtrics test data ready,Open module > perform action > validate result,Success,High
QUA-XM_-00032,Qualtrics,xm_programs,Clone Qualtrics xm_programs,Qualtrics test data ready,Submit transaction > sync system > reconcile report,Success,Low
QUA-XM_-00033,Qualtrics,xm_programs,Route Qualtrics xm_programs,Qualtrics test data ready,Initiate integration > check queue > confirm completion,Success,Medium
QUA-XM_-00034,Qualtrics,xm_programs,Clone Qualtrics xm_programs,Qualtrics test data ready,Initiate integration > check queue > confirm completion,Success,High
