Test Case ID,Platform,Module Group,Module,Domain,E2E Flow,Test Type,Test Scenario,Preconditions,Steps,Expected Result,Priority,Type,Sample Data
ORA-EPM-00001,OracleApps,epm,Planning,Enterprise,Create -> Approve -> Post -> Report,Regression,Escalate Enterprise OracleApps Planning,User has OracleApps access and Enterprise data exists,"1. Open Planning.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate end-to-end outcome.","Create -> Approve -> Post -> Report completes with correct status, audit trail, and reporting",Medium,Workflow,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-EPM-00002,OracleApps,epm,Planning,Enterprise,Submit -> Validate -> Approve -> Complete,Workflow,Reject Enterprise OracleApps Planning,User has OracleApps access and Enterprise data exists,"1. Open Planning.
2. Execute: Submit -> Validate -> Approve -> Complete.
3. Validate end-to-end outcome.","Submit -> Validate -> Approve -> Complete completes with correct status, audit trail, and reporting",Low,Functional,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-EPM-00003,OracleApps,epm,Planning,Enterprise,Draft -> Review -> Publish -> Archive,Regression,Edit Enterprise OracleApps Planning,User has OracleApps access and Enterprise data exists,"1. Open Planning.
2. Execute: Draft -> Review -> Publish -> Archive.
3. Validate end-to-end outcome.","Draft -> Review -> Publish -> Archive completes with correct status, audit trail, and reporting",Medium,Functional,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-EPM-00004,OracleApps,epm,Planning,Enterprise,Configure -> Execute -> Verify -> Close,Regression,Submit Enterprise OracleApps Planning,User has OracleApps access and Enterprise data exists,"1. Open Planning.
2. Execute: Configure -> Execute -> Verify -> Close.
3. Validate end-to-end outcome.","Configure -> Execute -> Verify -> Close completes with correct status, audit trail, and reporting",Low,Functional,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-EPM-00005,OracleApps,epm,Planning,Retail,Create -> Approve -> Post -> Report,Workflow,Restore Retail OracleApps Planning,User has OracleApps access and Retail data exists,"1. Open Planning.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate end-to-end outcome.","Create -> Approve -> Post -> Report completes with correct status, audit trail, and reporting",High,Regression,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-EPM-00006,OracleApps,epm,Planning,Retail,Submit -> Validate -> Approve -> Complete,UI,Validate Retail OracleApps Planning,User has OracleApps access and Retail data exists,"1. Open Planning.
2. Execute: Submit -> Validate -> Approve -> Complete.
3. Validate end-to-end outcome.","Submit -> Validate -> Approve -> Complete completes with correct status, audit trail, and reporting",High,Regression,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-EPM-00007,OracleApps,epm,Planning,Retail,Draft -> Review -> Publish -> Archive,Workflow,Route Retail OracleApps Planning,User has OracleApps access and Retail data exists,"1. Open Planning.
2. Execute: Draft -> Review -> Publish -> Archive.
3. Validate end-to-end outcome.","Draft -> Review -> Publish -> Archive completes with correct status, audit trail, and reporting",Medium,Regression,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-EPM-00008,OracleApps,epm,Planning,Retail,Configure -> Execute -> Verify -> Close,Security,Archive Retail OracleApps Planning,User has OracleApps access and Retail data exists,"1. Open Planning.
2. Execute: Configure -> Execute -> Verify -> Close.
3. Validate end-to-end outcome.","Configure -> Execute -> Verify -> Close completes with correct status, audit trail, and reporting",High,Workflow,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-EPM-00009,OracleApps,epm,Planning,Manufacturing,Create -> Approve -> Post -> Report,Integration,Clone Manufacturing OracleApps Planning,User has OracleApps access and Manufacturing data exists,"1. Open Planning.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate end-to-end outcome.","Create -> Approve -> Post -> Report completes with correct status, audit trail, and reporting",High,Integration,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-EPM-00010,OracleApps,epm,Planning,Manufacturing,Submit -> Validate -> Approve -> Complete,UI,Create Manufacturing OracleApps Planning,User has OracleApps access and Manufacturing data exists,"1. Open Planning.
2. Execute: Submit -> Validate -> Approve -> Complete.
3. Validate end-to-end outcome.","Submit -> Validate -> Approve -> Complete completes with correct status, audit trail, and reporting",High,Performance,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
