Test Case ID,Platform,Module Group,Module,Domain,E2E Flow,Test Type,Test Scenario,Preconditions,Steps,Expected Result,Priority,Type,Sample Data
DYN-FIN-00001,Dynamics365,finance,GL,Retail,Create -> Approve -> Post -> Report,Security,Update Retail Dynamics365 GL,User has Dynamics365 access and Retail data exists,"1. Open GL.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate end-to-end outcome.","Create -> Approve -> Post -> Report completes with correct status, audit trail, and reporting",High,Security,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
DYN-FIN-00002,Dynamics365,finance,GL,Retail,Submit -> Validate -> Approve -> Complete,UI,Escalate Retail Dynamics365 GL,User has Dynamics365 access and Retail data exists,"1. Open GL.
2. Execute: Submit -> Validate -> Approve -> Complete.
3. Validate end-to-end outcome.","Submit -> Validate -> Approve -> Complete completes with correct status, audit trail, and reporting",High,Integration,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
DYN-FIN-00003,Dynamics365,finance,GL,Retail,Draft -> Review -> Publish -> Archive,Workflow,Search Retail Dynamics365 GL,User has Dynamics365 access and Retail data exists,"1. Open GL.
2. Execute: Draft -> Review -> Publish -> Archive.
3. Validate end-to-end outcome.","Draft -> Review -> Publish -> Archive completes with correct status, audit trail, and reporting",Low,Functional,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
DYN-FIN-00004,Dynamics365,finance,GL,Retail,Configure -> Execute -> Verify -> Close,Functional,Search Retail Dynamics365 GL,User has Dynamics365 access and Retail data exists,"1. Open GL.
2. Execute: Configure -> Execute -> Verify -> Close.
3. Validate end-to-end outcome.","Configure -> Execute -> Verify -> Close completes with correct status, audit trail, and reporting",Low,Integration,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
DYN-FIN-00005,Dynamics365,finance,GL,Manufacturing,Create -> Approve -> Post -> Report,Workflow,Clone Manufacturing Dynamics365 GL,User has Dynamics365 access and Manufacturing data exists,"1. Open GL.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate end-to-end outcome.","Create -> Approve -> Post -> Report completes with correct status, audit trail, and reporting",High,Regression,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
DYN-FIN-00006,Dynamics365,finance,GL,Manufacturing,Submit -> Validate -> Approve -> Complete,Performance,Route Manufacturing Dynamics365 GL,User has Dynamics365 access and Manufacturing data exists,"1. Open GL.
2. Execute: Submit -> Validate -> Approve -> Complete.
3. Validate end-to-end outcome.","Submit -> Validate -> Approve -> Complete completes with correct status, audit trail, and reporting",High,Integration,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
DYN-FIN-00007,Dynamics365,finance,GL,Manufacturing,Draft -> Review -> Publish -> Archive,Integration,Reject Manufacturing Dynamics365 GL,User has Dynamics365 access and Manufacturing data exists,"1. Open GL.
2. Execute: Draft -> Review -> Publish -> Archive.
3. Validate end-to-end outcome.","Draft -> Review -> Publish -> Archive completes with correct status, audit trail, and reporting",Low,Workflow,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
DYN-FIN-00008,Dynamics365,finance,GL,Manufacturing,Configure -> Execute -> Verify -> Close,Accessibility,Update Manufacturing Dynamics365 GL,User has Dynamics365 access and Manufacturing data exists,"1. Open GL.
2. Execute: Configure -> Execute -> Verify -> Close.
3. Validate end-to-end outcome.","Configure -> Execute -> Verify -> Close completes with correct status, audit trail, and reporting",High,Functional,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
DYN-FIN-00009,Dynamics365,finance,GL,Healthcare,Create -> Approve -> Post -> Report,Performance,Validate Healthcare Dynamics365 GL,User has Dynamics365 access and Healthcare data exists,"1. Open GL.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate end-to-end outcome.","Create -> Approve -> Post -> Report completes with correct status, audit trail, and reporting",Medium,Performance,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
DYN-FIN-00010,Dynamics365,finance,GL,Healthcare,Submit -> Validate -> Approve -> Complete,Performance,Validate Healthcare Dynamics365 GL,User has Dynamics365 access and Healthcare data exists,"1. Open GL.
2. Execute: Submit -> Validate -> Approve -> Complete.
3. Validate end-to-end outcome.","Submit -> Validate -> Approve -> Complete completes with correct status, audit trail, and reporting",High,Functional,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
DYN-FIN-00011,Dynamics365,finance,GL,Healthcare,Draft -> Review -> Publish -> Archive,Performance,Delete Healthcare Dynamics365 GL,User has Dynamics365 access and Healthcare data exists,"1. Open GL.
2. Execute: Draft -> Review -> Publish -> Archive.
3. Validate end-to-end outcome.","Draft -> Review -> Publish -> Archive completes with correct status, audit trail, and reporting",Low,Workflow,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
DYN-FIN-00012,Dynamics365,finance,GL,Healthcare,Configure -> Execute -> Verify -> Close,Integration,Archive Healthcare Dynamics365 GL,User has Dynamics365 access and Healthcare data exists,"1. Open GL.
2. Execute: Configure -> Execute -> Verify -> Close.
3. Validate end-to-end outcome.","Configure -> Execute -> Verify -> Close completes with correct status, audit trail, and reporting",High,UI,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
