Test Case ID,Cloud,Module Group,Module,Domain,E2E Flow,Test Type,Test Scenario,Preconditions,Steps,Expected Result,Priority,Type
WD-00001,Workday,Finance,Core,Corporate,Flow,UI,Review Workday Finance,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
WD-00002,Workday,Finance,Core,Corporate,Flow,UI,Review Workday Finance,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
WD-00003,Workday,Finance,Core,Corporate,Flow,UI,Review Workday Finance,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
WD-00004,Workday,Finance,Core,Corporate,Flow,UI,Review Workday Finance,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
WD-00005,Workday,Finance,Core,Corporate,Flow,UI,Review Workday Finance,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
WD-00006,Workday,Finance,Core,Corporate,Flow,UI,Review Workday Finance,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
WD-00007,Workday,Finance,Core,Corporate,Flow,UI,Review Workday Finance,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
WD-00008,Workday,Finance,Core,Corporate,Flow,UI,Review Workday Finance,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
WD-00009,Workday,Finance,Core,Corporate,Flow,UI,Review Workday Finance,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
WD-00010,Workday,Finance,Core,Corporate,Flow,UI,Review Workday Finance,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
WD-00011,Workday,Finance,Core,Corporate,Flow,UI,Review Workday Finance,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
WD-00012,Workday,Finance,Core,Corporate,Flow,UI,Review Workday Finance,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
WD-00013,Workday,Finance,Core,Corporate,Flow,UI,Review Workday Finance,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
WD-00014,Workday,Finance,Core,Corporate,Flow,UI,Review Workday Finance,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
WD-00015,Workday,Finance,Core,Corporate,Flow,UI,Review Workday Finance,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
WD-00016,Workday,Finance,Core,Corporate,Flow,UI,Review Workday Finance,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
