Test Case ID,Platform,Module Group,Module,Domain,E2E Flow,Test Type,Test Scenario,Preconditions,Steps,Expected Result,Priority,Type,Sample Data
ORA-SCM-00001,OracleApps,scm,Inventory,Enterprise,Create -> Approve -> Post -> Report,Performance,Update Enterprise OracleApps Inventory,User has OracleApps access and Enterprise data exists,"1. Open Inventory.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate end-to-end outcome.","Create -> Approve -> Post -> Report completes with correct status, audit trail, and reporting",Medium,Accessibility,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-SCM-00002,OracleApps,scm,Inventory,Enterprise,Submit -> Validate -> Approve -> Complete,Workflow,Approve Enterprise OracleApps Inventory,User has OracleApps access and Enterprise data exists,"1. Open Inventory.
2. Execute: Submit -> Validate -> Approve -> Complete.
3. Validate end-to-end outcome.","Submit -> Validate -> Approve -> Complete completes with correct status, audit trail, and reporting",Medium,UI,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-SCM-00003,OracleApps,scm,Inventory,Enterprise,Draft -> Review -> Publish -> Archive,Integration,Submit Enterprise OracleApps Inventory,User has OracleApps access and Enterprise data exists,"1. Open Inventory.
2. Execute: Draft -> Review -> Publish -> Archive.
3. Validate end-to-end outcome.","Draft -> Review -> Publish -> Archive completes with correct status, audit trail, and reporting",Medium,UI,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-SCM-00004,OracleApps,scm,Inventory,Enterprise,Configure -> Execute -> Verify -> Close,UI,Create Enterprise OracleApps Inventory,User has OracleApps access and Enterprise data exists,"1. Open Inventory.
2. Execute: Configure -> Execute -> Verify -> Close.
3. Validate end-to-end outcome.","Configure -> Execute -> Verify -> Close completes with correct status, audit trail, and reporting",High,Security,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-SCM-00005,OracleApps,scm,Inventory,Retail,Create -> Approve -> Post -> Report,Accessibility,Route Retail OracleApps Inventory,User has OracleApps access and Retail data exists,"1. Open Inventory.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate end-to-end outcome.","Create -> Approve -> Post -> Report completes with correct status, audit trail, and reporting",High,Accessibility,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-SCM-00006,OracleApps,scm,Inventory,Retail,Submit -> Validate -> Approve -> Complete,Functional,Validate Retail OracleApps Inventory,User has OracleApps access and Retail data exists,"1. Open Inventory.
2. Execute: Submit -> Validate -> Approve -> Complete.
3. Validate end-to-end outcome.","Submit -> Validate -> Approve -> Complete completes with correct status, audit trail, and reporting",Low,UI,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-SCM-00007,OracleApps,scm,Inventory,Retail,Draft -> Review -> Publish -> Archive,UI,Update Retail OracleApps Inventory,User has OracleApps access and Retail data exists,"1. Open Inventory.
2. Execute: Draft -> Review -> Publish -> Archive.
3. Validate end-to-end outcome.","Draft -> Review -> Publish -> Archive completes with correct status, audit trail, and reporting",Low,Security,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-SCM-00008,OracleApps,scm,Inventory,Retail,Configure -> Execute -> Verify -> Close,Regression,Search Retail OracleApps Inventory,User has OracleApps access and Retail data exists,"1. Open Inventory.
2. Execute: Configure -> Execute -> Verify -> Close.
3. Validate end-to-end outcome.","Configure -> Execute -> Verify -> Close completes with correct status, audit trail, and reporting",Low,Regression,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-SCM-00009,OracleApps,scm,Inventory,Manufacturing,Create -> Approve -> Post -> Report,Integration,Route Manufacturing OracleApps Inventory,User has OracleApps access and Manufacturing data exists,"1. Open Inventory.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate end-to-end outcome.","Create -> Approve -> Post -> Report completes with correct status, audit trail, and reporting",High,Workflow,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-SCM-00010,OracleApps,scm,Inventory,Manufacturing,Submit -> Validate -> Approve -> Complete,Integration,Submit Manufacturing OracleApps Inventory,User has OracleApps access and Manufacturing data exists,"1. Open Inventory.
2. Execute: Submit -> Validate -> Approve -> Complete.
3. Validate end-to-end outcome.","Submit -> Validate -> Approve -> Complete completes with correct status, audit trail, and reporting",High,Regression,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
