Test Case ID,Cloud,Module Group,Module,Domain,E2E Flow,Test Type,Test Scenario,Preconditions,Steps,Expected Result,Priority,Type,Sample Data
WD-INT-00001,Workday,INTEGRATIONS,EIB,Corporate,Requisition -> Offer -> Hire -> Onboard -> Payroll,Data Migration,Reject Corporate Workday EIB,Workday access is provisioned and Corporate test data exists,"1. Open Workday EIB.
2. Execute: Requisition -> Offer -> Hire -> Onboard -> Payroll.
3. Perform validation and confirm downstream impact.","Requisition -> Offer -> Hire -> Onboard -> Payroll completes successfully with approvals, validations, and audit trail",Low,Data Migration,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-INT-00002,Workday,INTEGRATIONS,EIB,Corporate,Employee Life Event -> Benefits -> Payroll -> Reporting,Regression,Validate Corporate Workday EIB,Workday access is provisioned and Corporate test data exists,"1. Open Workday EIB.
2. Execute: Employee Life Event -> Benefits -> Payroll -> Reporting.
3. Perform validation and confirm downstream impact.","Employee Life Event -> Benefits -> Payroll -> Reporting completes successfully with approvals, validations, and audit trail",Low,UI,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-INT-00003,Workday,INTEGRATIONS,EIB,Corporate,Expense Submit -> Approval -> Accounting -> Reimbursement,Security,Reject Corporate Workday EIB,Workday access is provisioned and Corporate test data exists,"1. Open Workday EIB.
2. Execute: Expense Submit -> Approval -> Accounting -> Reimbursement.
3. Perform validation and confirm downstream impact.","Expense Submit -> Approval -> Accounting -> Reimbursement completes successfully with approvals, validations, and audit trail",Low,Data Migration,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-INT-00004,Workday,INTEGRATIONS,EIB,Corporate,Supplier Invoice -> Matching -> Approval -> Payment,Mobile,Validate Corporate Workday EIB,Workday access is provisioned and Corporate test data exists,"1. Open Workday EIB.
2. Execute: Supplier Invoice -> Matching -> Approval -> Payment.
3. Perform validation and confirm downstream impact.","Supplier Invoice -> Matching -> Approval -> Payment completes successfully with approvals, validations, and audit trail",Low,Regression,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-INT-00005,Workday,INTEGRATIONS,EIB,Corporate,Integration Load -> Validate -> Error Handling -> Reprocess,Mobile,Export Corporate Workday EIB,Workday access is provisioned and Corporate test data exists,"1. Open Workday EIB.
2. Execute: Integration Load -> Validate -> Error Handling -> Reprocess.
3. Perform validation and confirm downstream impact.","Integration Load -> Validate -> Error Handling -> Reprocess completes successfully with approvals, validations, and audit trail",Medium,Regression,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-INT-00006,Workday,INTEGRATIONS,EIB,Corporate,Recruiting -> Hire -> Onboard -> Time -> Payroll,UI,Validate Corporate Workday EIB,Workday access is provisioned and Corporate test data exists,"1. Open Workday EIB.
2. Execute: Recruiting -> Hire -> Onboard -> Time -> Payroll.
3. Perform validation and confirm downstream impact.","Recruiting -> Hire -> Onboard -> Time -> Payroll completes successfully with approvals, validations, and audit trail",Medium,Data Migration,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-INT-00007,Workday,INTEGRATIONS,EIB,Corporate,Budget -> Expense -> Journal -> Dashboard,Functional,Validate Corporate Workday EIB,Workday access is provisioned and Corporate test data exists,"1. Open Workday EIB.
2. Execute: Budget -> Expense -> Journal -> Dashboard.
3. Perform validation and confirm downstream impact.","Budget -> Expense -> Journal -> Dashboard completes successfully with approvals, validations, and audit trail",High,Integration,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-INT-00008,Workday,INTEGRATIONS,EIB,Retail,Requisition -> Offer -> Hire -> Onboard -> Payroll,Regression,Create Retail Workday EIB,Workday access is provisioned and Retail test data exists,"1. Open Workday EIB.
2. Execute: Requisition -> Offer -> Hire -> Onboard -> Payroll.
3. Perform validation and confirm downstream impact.","Requisition -> Offer -> Hire -> Onboard -> Payroll completes successfully with approvals, validations, and audit trail",Medium,UI,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-INT-00009,Workday,INTEGRATIONS,EIB,Retail,Employee Life Event -> Benefits -> Payroll -> Reporting,Security,Reject Retail Workday EIB,Workday access is provisioned and Retail test data exists,"1. Open Workday EIB.
2. Execute: Employee Life Event -> Benefits -> Payroll -> Reporting.
3. Perform validation and confirm downstream impact.","Employee Life Event -> Benefits -> Payroll -> Reporting completes successfully with approvals, validations, and audit trail",High,Workflow,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-INT-00010,Workday,INTEGRATIONS,EIB,Retail,Expense Submit -> Approval -> Accounting -> Reimbursement,Mobile,Submit Retail Workday EIB,Workday access is provisioned and Retail test data exists,"1. Open Workday EIB.
2. Execute: Expense Submit -> Approval -> Accounting -> Reimbursement.
3. Perform validation and confirm downstream impact.","Expense Submit -> Approval -> Accounting -> Reimbursement completes successfully with approvals, validations, and audit trail",Low,Data Migration,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-INT-00011,Workday,INTEGRATIONS,EIB,Retail,Supplier Invoice -> Matching -> Approval -> Payment,Mobile,Approve Retail Workday EIB,Workday access is provisioned and Retail test data exists,"1. Open Workday EIB.
2. Execute: Supplier Invoice -> Matching -> Approval -> Payment.
3. Perform validation and confirm downstream impact.","Supplier Invoice -> Matching -> Approval -> Payment completes successfully with approvals, validations, and audit trail",High,Security,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
