Test Case ID,Suite,Function,Module,Domain,E2E Flow,Test Type,Test Scenario,Preconditions,Steps,Expected Result,Priority,Type,Sample Data
SAP-SCM-00001,SAP Ph-II,SCM,Demand Planning,Manufacturing,Create -> Approve -> Post -> Report,Integration,Escalate Manufacturing SAP Demand Planning,SAP access provisioned and Manufacturing test data exists,"1. Open Demand Planning.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate posting, output, and audit trail.",Create -> Approve -> Post -> Report completes with accounting/logistics integrity and reporting,Medium,Regression,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-SCM-00002,SAP Ph-II,SCM,Demand Planning,Manufacturing,Plan -> Execute -> Verify -> Close,Security,Escalate Manufacturing SAP Demand Planning,SAP access provisioned and Manufacturing test data exists,"1. Open Demand Planning.
2. Execute: Plan -> Execute -> Verify -> Close.
3. Validate posting, output, and audit trail.",Plan -> Execute -> Verify -> Close completes with accounting/logistics integrity and reporting,High,UI,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-SCM-00003,SAP Ph-II,SCM,Demand Planning,Manufacturing,Request -> Process -> Approve -> Complete,Integration,Clone Manufacturing SAP Demand Planning,SAP access provisioned and Manufacturing test data exists,"1. Open Demand Planning.
2. Execute: Request -> Process -> Approve -> Complete.
3. Validate posting, output, and audit trail.",Request -> Process -> Approve -> Complete completes with accounting/logistics integrity and reporting,Low,Security,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-SCM-00004,SAP Ph-II,SCM,Demand Planning,Manufacturing,Master Data -> Transaction -> Settlement -> Analytics,Security,Route Manufacturing SAP Demand Planning,SAP access provisioned and Manufacturing test data exists,"1. Open Demand Planning.
2. Execute: Master Data -> Transaction -> Settlement -> Analytics.
3. Validate posting, output, and audit trail.",Master Data -> Transaction -> Settlement -> Analytics completes with accounting/logistics integrity and reporting,High,UI,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-SCM-00005,SAP Ph-II,SCM,Demand Planning,Manufacturing,Order -> Delivery -> Billing -> Accounting,Functional,Approve Manufacturing SAP Demand Planning,SAP access provisioned and Manufacturing test data exists,"1. Open Demand Planning.
2. Execute: Order -> Delivery -> Billing -> Accounting.
3. Validate posting, output, and audit trail.",Order -> Delivery -> Billing -> Accounting completes with accounting/logistics integrity and reporting,Low,Regression,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-SCM-00006,SAP Ph-II,SCM,Demand Planning,Retail,Create -> Approve -> Post -> Report,Performance,Approve Retail SAP Demand Planning,SAP access provisioned and Retail test data exists,"1. Open Demand Planning.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate posting, output, and audit trail.",Create -> Approve -> Post -> Report completes with accounting/logistics integrity and reporting,High,Security,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-SCM-00007,SAP Ph-II,SCM,Demand Planning,Retail,Plan -> Execute -> Verify -> Close,Security,Validate Retail SAP Demand Planning,SAP access provisioned and Retail test data exists,"1. Open Demand Planning.
2. Execute: Plan -> Execute -> Verify -> Close.
3. Validate posting, output, and audit trail.",Plan -> Execute -> Verify -> Close completes with accounting/logistics integrity and reporting,Medium,Workflow,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-SCM-00008,SAP Ph-II,SCM,Demand Planning,Retail,Request -> Process -> Approve -> Complete,Functional,Escalate Retail SAP Demand Planning,SAP access provisioned and Retail test data exists,"1. Open Demand Planning.
2. Execute: Request -> Process -> Approve -> Complete.
3. Validate posting, output, and audit trail.",Request -> Process -> Approve -> Complete completes with accounting/logistics integrity and reporting,Medium,Workflow,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-SCM-00009,SAP Ph-II,SCM,Demand Planning,Retail,Master Data -> Transaction -> Settlement -> Analytics,Functional,Update Retail SAP Demand Planning,SAP access provisioned and Retail test data exists,"1. Open Demand Planning.
2. Execute: Master Data -> Transaction -> Settlement -> Analytics.
3. Validate posting, output, and audit trail.",Master Data -> Transaction -> Settlement -> Analytics completes with accounting/logistics integrity and reporting,Medium,Security,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-SCM-00010,SAP Ph-II,SCM,Demand Planning,Retail,Order -> Delivery -> Billing -> Accounting,Workflow,Restore Retail SAP Demand Planning,SAP access provisioned and Retail test data exists,"1. Open Demand Planning.
2. Execute: Order -> Delivery -> Billing -> Accounting.
3. Validate posting, output, and audit trail.",Order -> Delivery -> Billing -> Accounting completes with accounting/logistics integrity and reporting,Medium,Workflow,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
