Test Case ID,Suite,Function,Module,Domain,E2E Flow,Test Type,Test Scenario,Preconditions,Steps,Expected Result,Priority,Type,Sample Data
SAP-FI-00001,SAP Ph-II,FI,GL,Manufacturing,Create -> Approve -> Post -> Report,UI,Create Manufacturing SAP GL,SAP access provisioned and Manufacturing test data exists,"1. Open GL.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate posting, output, and audit trail.",Create -> Approve -> Post -> Report completes with accounting/logistics integrity and reporting,Medium,Functional,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-FI-00002,SAP Ph-II,FI,GL,Manufacturing,Plan -> Execute -> Verify -> Close,Security,Delete Manufacturing SAP GL,SAP access provisioned and Manufacturing test data exists,"1. Open GL.
2. Execute: Plan -> Execute -> Verify -> Close.
3. Validate posting, output, and audit trail.",Plan -> Execute -> Verify -> Close completes with accounting/logistics integrity and reporting,Medium,Regression,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-FI-00003,SAP Ph-II,FI,GL,Manufacturing,Request -> Process -> Approve -> Complete,Integration,Search Manufacturing SAP GL,SAP access provisioned and Manufacturing test data exists,"1. Open GL.
2. Execute: Request -> Process -> Approve -> Complete.
3. Validate posting, output, and audit trail.",Request -> Process -> Approve -> Complete completes with accounting/logistics integrity and reporting,Low,Functional,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-FI-00004,SAP Ph-II,FI,GL,Manufacturing,Master Data -> Transaction -> Settlement -> Analytics,Regression,Route Manufacturing SAP GL,SAP access provisioned and Manufacturing test data exists,"1. Open GL.
2. Execute: Master Data -> Transaction -> Settlement -> Analytics.
3. Validate posting, output, and audit trail.",Master Data -> Transaction -> Settlement -> Analytics completes with accounting/logistics integrity and reporting,Low,Regression,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-FI-00005,SAP Ph-II,FI,GL,Manufacturing,Order -> Delivery -> Billing -> Accounting,Workflow,Approve Manufacturing SAP GL,SAP access provisioned and Manufacturing test data exists,"1. Open GL.
2. Execute: Order -> Delivery -> Billing -> Accounting.
3. Validate posting, output, and audit trail.",Order -> Delivery -> Billing -> Accounting completes with accounting/logistics integrity and reporting,Low,Functional,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-FI-00006,SAP Ph-II,FI,GL,Retail,Create -> Approve -> Post -> Report,Workflow,Update Retail SAP GL,SAP access provisioned and Retail test data exists,"1. Open GL.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate posting, output, and audit trail.",Create -> Approve -> Post -> Report completes with accounting/logistics integrity and reporting,Medium,Functional,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-FI-00007,SAP Ph-II,FI,GL,Retail,Plan -> Execute -> Verify -> Close,Integration,Escalate Retail SAP GL,SAP access provisioned and Retail test data exists,"1. Open GL.
2. Execute: Plan -> Execute -> Verify -> Close.
3. Validate posting, output, and audit trail.",Plan -> Execute -> Verify -> Close completes with accounting/logistics integrity and reporting,Low,Regression,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-FI-00008,SAP Ph-II,FI,GL,Retail,Request -> Process -> Approve -> Complete,Security,Approve Retail SAP GL,SAP access provisioned and Retail test data exists,"1. Open GL.
2. Execute: Request -> Process -> Approve -> Complete.
3. Validate posting, output, and audit trail.",Request -> Process -> Approve -> Complete completes with accounting/logistics integrity and reporting,Low,Workflow,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-FI-00009,SAP Ph-II,FI,GL,Retail,Master Data -> Transaction -> Settlement -> Analytics,Workflow,Update Retail SAP GL,SAP access provisioned and Retail test data exists,"1. Open GL.
2. Execute: Master Data -> Transaction -> Settlement -> Analytics.
3. Validate posting, output, and audit trail.",Master Data -> Transaction -> Settlement -> Analytics completes with accounting/logistics integrity and reporting,Low,UI,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-FI-00010,SAP Ph-II,FI,GL,Retail,Order -> Delivery -> Billing -> Accounting,Workflow,Delete Retail SAP GL,SAP access provisioned and Retail test data exists,"1. Open GL.
2. Execute: Order -> Delivery -> Billing -> Accounting.
3. Validate posting, output, and audit trail.",Order -> Delivery -> Billing -> Accounting completes with accounting/logistics integrity and reporting,High,Functional,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-FI-00011,SAP Ph-II,FI,GL,Pharma,Create -> Approve -> Post -> Report,Workflow,Submit Pharma SAP GL,SAP access provisioned and Pharma test data exists,"1. Open GL.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate posting, output, and audit trail.",Create -> Approve -> Post -> Report completes with accounting/logistics integrity and reporting,High,Integration,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-FI-00012,SAP Ph-II,FI,GL,Pharma,Plan -> Execute -> Verify -> Close,Performance,Update Pharma SAP GL,SAP access provisioned and Pharma test data exists,"1. Open GL.
2. Execute: Plan -> Execute -> Verify -> Close.
3. Validate posting, output, and audit trail.",Plan -> Execute -> Verify -> Close completes with accounting/logistics integrity and reporting,High,Integration,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
