Test Case ID,Product,Folder,Capability,Domain,Flow,Test Type,Scenario,Preconditions,Steps,Expected Result,Priority,Sample Data
IOS-PAY-00001,iOS,payments,payments,Enterprise,Permission -> Action -> Persist,Performance,Route iOS payments,iOS access and test data available,"1. Open payments.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-PAY-00002,iOS,payments,payments,Consumer,Push -> Open -> Verify,UI,Escalate iOS payments,iOS access and test data available,"1. Open payments.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-PAY-00003,iOS,payments,payments,Healthcare,Push -> Open -> Verify,UI,Create iOS payments,iOS access and test data available,"1. Open payments.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-PAY-00004,iOS,payments,payments,Enterprise,Launch -> Authenticate -> Use -> Logout,Performance,Create iOS payments,iOS access and test data available,"1. Open payments.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-PAY-00005,iOS,payments,payments,FinTech,Push -> Open -> Verify,UI,Update iOS payments,iOS access and test data available,"1. Open payments.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-PAY-00006,iOS,payments,payments,Healthcare,Offline -> Sync -> Resolve,Functional,Edit iOS payments,iOS access and test data available,"1. Open payments.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-PAY-00007,iOS,payments,payments,Consumer,Launch -> Authenticate -> Use -> Logout,UI,Restore iOS payments,iOS access and test data available,"1. Open payments.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-PAY-00008,iOS,payments,payments,FinTech,Push -> Open -> Verify,Accessibility,Escalate iOS payments,iOS access and test data available,"1. Open payments.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-PAY-00009,iOS,payments,payments,Healthcare,Launch -> Authenticate -> Use -> Logout,UI,Clone iOS payments,iOS access and test data available,"1. Open payments.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-PAY-00010,iOS,payments,payments,Healthcare,Offline -> Sync -> Resolve,Accessibility,Route iOS payments,iOS access and test data available,"1. Open payments.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-PAY-00011,iOS,payments,payments,Healthcare,Offline -> Sync -> Resolve,Regression,Update iOS payments,iOS access and test data available,"1. Open payments.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
