Test Case ID,Cloud,Module,Domain,E2E Flow,Test Type,Test Scenario,Preconditions,Steps,Expected Result,Priority,Type
SF-MA-00001,Marketing,Journey Builder,Retail,Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead,Security,Delete Retail Marketing Journey Builder,User has Marketing access and Retail data is configured,"1. Navigate to Journey Builder.
2. Execute: Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead.
3. Perform Delete and verify results.",Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead completes successfully with audit trail and validation,High,Mobile
SF-MA-00002,Marketing,Journey Builder,Retail,Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead,Performance,Create Retail Marketing Journey Builder,User has Marketing access and Retail data is configured,"1. Navigate to Journey Builder.
2. Execute: Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead.
3. Perform Create and verify results.",Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead completes successfully with audit trail and validation,Low,Accessibility
SF-MA-00003,Marketing,Journey Builder,Retail,Cart Abandon -> Journey -> SMS -> Conversion -> Case,Mobile,Update Retail Marketing Journey Builder,User has Marketing access and Retail data is configured,"1. Navigate to Journey Builder.
2. Execute: Cart Abandon -> Journey -> SMS -> Conversion -> Case.
3. Perform Update and verify results.",Cart Abandon -> Journey -> SMS -> Conversion -> Case completes successfully with audit trail and validation,Medium,Security
SF-MA-00004,Marketing,Journey Builder,Retail,Cart Abandon -> Journey -> SMS -> Conversion -> Case,UI,View Retail Marketing Journey Builder,User has Marketing access and Retail data is configured,"1. Navigate to Journey Builder.
2. Execute: Cart Abandon -> Journey -> SMS -> Conversion -> Case.
3. Perform View and verify results.",Cart Abandon -> Journey -> SMS -> Conversion -> Case completes successfully with audit trail and validation,Medium,Mobile
SF-MA-00005,Marketing,Journey Builder,Retail,Consent Capture -> Segment -> Journey -> Send -> Response,Functional,Sync Retail Marketing Journey Builder,User has Marketing access and Retail data is configured,"1. Navigate to Journey Builder.
2. Execute: Consent Capture -> Segment -> Journey -> Send -> Response.
3. Perform Sync and verify results.",Consent Capture -> Segment -> Journey -> Send -> Response completes successfully with audit trail and validation,Medium,UI
SF-MA-00006,Marketing,Journey Builder,Retail,Consent Capture -> Segment -> Journey -> Send -> Response,Security,Restore Retail Marketing Journey Builder,User has Marketing access and Retail data is configured,"1. Navigate to Journey Builder.
2. Execute: Consent Capture -> Segment -> Journey -> Send -> Response.
3. Perform Restore and verify results.",Consent Capture -> Segment -> Journey -> Send -> Response completes successfully with audit trail and validation,High,Security
SF-MA-00007,Marketing,Journey Builder,Healthcare,Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead,Mobile,Delete Healthcare Marketing Journey Builder,User has Marketing access and Healthcare data is configured,"1. Navigate to Journey Builder.
2. Execute: Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead.
3. Perform Delete and verify results.",Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead completes successfully with audit trail and validation,High,Integration
SF-MA-00008,Marketing,Journey Builder,Healthcare,Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead,UI,Submit Healthcare Marketing Journey Builder,User has Marketing access and Healthcare data is configured,"1. Navigate to Journey Builder.
2. Execute: Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead.
3. Perform Submit and verify results.",Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead completes successfully with audit trail and validation,High,Regression
SF-MA-00009,Marketing,Journey Builder,Healthcare,Cart Abandon -> Journey -> SMS -> Conversion -> Case,Performance,Delete Healthcare Marketing Journey Builder,User has Marketing access and Healthcare data is configured,"1. Navigate to Journey Builder.
2. Execute: Cart Abandon -> Journey -> SMS -> Conversion -> Case.
3. Perform Delete and verify results.",Cart Abandon -> Journey -> SMS -> Conversion -> Case completes successfully with audit trail and validation,Medium,UI
SF-MA-00010,Marketing,Journey Builder,Healthcare,Cart Abandon -> Journey -> SMS -> Conversion -> Case,Performance,Update Healthcare Marketing Journey Builder,User has Marketing access and Healthcare data is configured,"1. Navigate to Journey Builder.
2. Execute: Cart Abandon -> Journey -> SMS -> Conversion -> Case.
3. Perform Update and verify results.",Cart Abandon -> Journey -> SMS -> Conversion -> Case completes successfully with audit trail and validation,Low,Mobile
SF-MA-00011,Marketing,Journey Builder,Healthcare,Consent Capture -> Segment -> Journey -> Send -> Response,Regression,Reject Healthcare Marketing Journey Builder,User has Marketing access and Healthcare data is configured,"1. Navigate to Journey Builder.
2. Execute: Consent Capture -> Segment -> Journey -> Send -> Response.
3. Perform Reject and verify results.",Consent Capture -> Segment -> Journey -> Send -> Response completes successfully with audit trail and validation,High,Security
SF-MA-00012,Marketing,Journey Builder,Healthcare,Consent Capture -> Segment -> Journey -> Send -> Response,Functional,Create Healthcare Marketing Journey Builder,User has Marketing access and Healthcare data is configured,"1. Navigate to Journey Builder.
2. Execute: Consent Capture -> Segment -> Journey -> Send -> Response.
3. Perform Create and verify results.",Consent Capture -> Segment -> Journey -> Send -> Response completes successfully with audit trail and validation,Medium,Mobile
SF-MA-00013,Marketing,Journey Builder,Financial Services,Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead,Performance,Clone Financial Services Marketing Journey Builder,User has Marketing access and Financial Services data is configured,"1. Navigate to Journey Builder.
2. Execute: Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead.
3. Perform Clone and verify results.",Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead completes successfully with audit trail and validation,Medium,Performance
SF-MA-00014,Marketing,Journey Builder,Financial Services,Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead,Mobile,Validate Financial Services Marketing Journey Builder,User has Marketing access and Financial Services data is configured,"1. Navigate to Journey Builder.
2. Execute: Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead.
3. Perform Validate and verify results.",Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead completes successfully with audit trail and validation,Low,Performance
SF-MA-00015,Marketing,Journey Builder,Financial Services,Cart Abandon -> Journey -> SMS -> Conversion -> Case,Performance,Archive Financial Services Marketing Journey Builder,User has Marketing access and Financial Services data is configured,"1. Navigate to Journey Builder.
2. Execute: Cart Abandon -> Journey -> SMS -> Conversion -> Case.
3. Perform Archive and verify results.",Cart Abandon -> Journey -> SMS -> Conversion -> Case completes successfully with audit trail and validation,Low,Integration
SF-MA-00016,Marketing,Journey Builder,Financial Services,Cart Abandon -> Journey -> SMS -> Conversion -> Case,Regression,Sync Financial Services Marketing Journey Builder,User has Marketing access and Financial Services data is configured,"1. Navigate to Journey Builder.
2. Execute: Cart Abandon -> Journey -> SMS -> Conversion -> Case.
3. Perform Sync and verify results.",Cart Abandon -> Journey -> SMS -> Conversion -> Case completes successfully with audit trail and validation,Low,Integration
SF-MA-00017,Marketing,Journey Builder,Financial Services,Consent Capture -> Segment -> Journey -> Send -> Response,Functional,Create Financial Services Marketing Journey Builder,User has Marketing access and Financial Services data is configured,"1. Navigate to Journey Builder.
2. Execute: Consent Capture -> Segment -> Journey -> Send -> Response.
3. Perform Create and verify results.",Consent Capture -> Segment -> Journey -> Send -> Response completes successfully with audit trail and validation,Low,Mobile
SF-MA-00018,Marketing,Journey Builder,Financial Services,Consent Capture -> Segment -> Journey -> Send -> Response,Functional,Restore Financial Services Marketing Journey Builder,User has Marketing access and Financial Services data is configured,"1. Navigate to Journey Builder.
2. Execute: Consent Capture -> Segment -> Journey -> Send -> Response.
3. Perform Restore and verify results.",Consent Capture -> Segment -> Journey -> Send -> Response completes successfully with audit trail and validation,Medium,Accessibility
